ESTABLISHMENTNAME,EXACT LOCATION,STREETADDRESS,SUBURB,TOWNNAME,POSTALADDRESS,PHONE,PRINCIPALECONOMIC ACTIVITY
MARIAMA'S SHOP,BEHIND TOWN HALL STORE NO. 44,,CENTRAL MARKET,OBUASI,,243333590,Retail sale of beverages in specialized stores
MARIAMA'S SHOP,OPPOSITE ST. THOMAS SCHOOL,OFORI AGYEMAN II STREET,NEW NSUTA,OBUASI,,542314843,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
MARIAMA'S SHOP,OPPOSITE ST. THOMAS SCHOOL,OFORI AGYEMAN II STREET,NEW NSUTA,OBUASI,,542314843,Retail sale of beverages in specialized stores
MARIE YAKUBU PROVISIONS,ON THE P&P ELECTRICALS LANE,OBUASI HIGH STREET,GAUSU,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARIE YUSIF'S SHOP,DOWNWARDS AFTER THE CHEMICAL SHOP,OBUASI HIGH STREET,GAUSU,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARKET WOMAN'S PROVISIONS STORE,OPPOSITE BARBRA'S CHURCH,BINSERE ROAD,KUNKA,OBUASI,,243719995,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARTDEES DECO AND FASHION SALON,BEHIND THE PIPE POLYTANK CLOSER TO ROSE FASHION,BOSSMAN STREET,BOSSMAN,OBUASI,,249752117,"Manufacture of wearing apparel, except fur apparel"
MARTHA BEMPEN'S PROVISIONS STORE,OPPOSITE YAA ADU'S STORE,,ADAASI,OBUASI,"C/O P. O. BOX  6, OBUASI",261907961,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARTHA ODURO'S PROVISIONS STORE,OPPOSITE LIGHTHOUSE CHAPEL INTERNATIONAL,BINSERE ROAD,KUNKA,OBUASI,,544727538,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARTHA YEBOAH'S PROVISIONS STORE,OPPOSITE NANA WIREDU'S JHS BLOCK,BINSERE ROAD,KUNKA,OBUASI,,543595469,Retail sale of food in specialized stores
MARTHA'S BEAUTY SALON,BEHIND JUSBRO FILLING STATION,BINSERE ROAD,KUNKA,OBUASI,,246246129,Hairdressing and other beauty treatment
MARTIN ADABO AND APPIAH JOHN ELECTRONICS SHOP,BESIDE THE COMMUNITY BORE-HOLE,,PAPROM,OBUASI,,249760461,Repair of consumer electronics
MARTIN DONKOR'S ENTERPRISE,NINE MILES ROAD NEAR U.G.M JUNCTION BESIDE THECORN MILL SHOP,BINSERE ROAD,KUNKA,OBUASI,,244151976,"Retail sale of hardware, paints and glass in specialized stores"
MARTIN TUFFOUR'S PHARMACY,ADJACENT ADOPEI ENTERPRISE,BOSSMAN STREET,BOSSMAN,OBUASI,,243179254,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
MARY ABOAGYE'S SHOP,"BEHIND ST, AUGUSTINE'S SCHOOL",,ABOMPE,OBUASI,,245508704,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARY ADDAE'S PROVISIONS STORE,OPPOSITE SARAH POMAA'S DRESS MAKING SHOP,OLD CONTINUATION CHURCH ROAD,KUNKA,OBUASI,,246712878,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARY ASANTE FASHION,BEHIND JEHOVA WITNESS CHURCH,ABUSCO ROAD,AKAPORISO,OBUASI,,242938270,"Manufacture of wearing apparel, except fur apparel"
MARY BAFFOE'S SHOP,OPPOSITE METHODIST CHURCH,,KUNKA,OBUASI,,242146367,Retail sale of textiles in specialized stores
MARY BAIDOO'S SHOP,OPPOSITE PAXMA MICRO FINANCE LTD,,ESTATE,OBUASI,,242522922,Other retail sale in non-specialized stores
MARY BAUDU'S SHOP,OPPOSITE METHODIST PRIMARY SCHOOL,ANYINMAFIE ROAD,ANYINAMFIE,OBUASI,,249706640,"Manufacture of wearing apparel, except fur apparel"
MARY BOACHE'S STORE,STORE NO. 84 ON ANTWI SAMPA DRIVE,ANTWI SAMPA DRIVE,OBUASIV CENTRAL,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARY BREWS PROVISIONS STORE,ADJACENT AGA BUS TERMINAL,,ANYINAMFIE,OBUASI,,277498802,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARY DONKOR'S PROVISIONS STORE,ALONG RAMS PREPERATORY JUNIOR HIGH SCHOOL,DIAWUOSO ROAD,KWAME DUAKROM,KWAME DUAKROM,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARY DRAMANI'S SHOP,STORE NO. 20 ON CENTRAL STATION ROAD,CENTRAL STATION ROAD,OBUASI CENTRAL,OBUASI,,277029066,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
MARY FROZEN FOODS,OPPOSITE KOFI KRAH;S BUILDING,CLUB 10 ROAD,BOGOBIRI,OBUASI,,540745792,Retail sale of food in specialized stores
MARY KANYIRI'S ENTERPRISE,ADJACENT SLINDIND DOOR SHOP,AKAPORISO STREET,AKAPORISO,OBUASI,"P. O. BOX 1198, OBUASI",244155310,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
MARY KOOMSON HAIR DRESSING  SALON,OPPOSITE FOSUA GUEST HOUSE,,AKAPORISO,OBUASI,,246115896,Hairdressing and other beauty treatment
MARY MUMUNI'S SHOP,BEHIND CENTRAL MARKET ADJACENT TOWN HALL BUILDING,AFUA AFRIFAA III WALK,CENTRAL,OBUASI,"P. O. BOX 821, OBUASI",243231721,"Retail sale of clothing, footwear and leather articles in specialized stores"
MARY NABIE FASHION CENTRE,BEHIND APOSTOLIC CHURCH,APOSTOLIC ROAD,AKAPORISO,OBUASI,,246424419,"Manufacture of wearing apparel, except fur apparel"
MARY NKRUMAH'S SHOP,BEHIND MEN'S TAILORS SHOP ON OFORI AGYEMANG IISTREET,OFORI AGYEMANE II STREET,CNETRAL MARKET,OBUASI,"P. O. BOX 457, OBUASI",243243010,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARY OKYERE'S PROVISIONS STORE,INFRONT OF RUBBISH DUMPING REFUSE,,DEKYEWA,OBUASI,,264792905,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MARY POKUAA HAIR SALON,"AT GAUSU MARKET, AKOSUA KYRAA'S FASHION",AMRKET LANE,GAUSU,OBUASI,,NULL,Hairdressing and other beauty treatment
MARY QUANSAH'S SHOP,ADJACENT THE CENTRAL TOWN HALL BUILDING,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,243505491,Retail sale of textiles in specialized stores
MARY SAM STORE,"BEHIND MEN'S TAILORS SHOP, ANTWI SAMPA ROAD",ANTWI SAMPA DRIVE,CENTRAL MARKET,OBUASI,,274187882,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
MARY'S SHOP,BEHIND THE TOWN HALL BUILDING,AFUA AFRIFAA III ROAD,OBUASI CENTRAL,OBUASI,,240870652,Other retail sale of new goods in specialized stores
MARY'S UNIQUE FASHION,OPPOSITE THE CENTRAL ABATTOIR,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,243711066,"Manufacture of wearing apparel, except fur apparel"
MASA OBOLO HUNDAI MECHANIC AND SPARE PARTS SHOP,ADJACENT ADJEI FURNITURES,AKAPORISO STREET,AKAPORISO,OBUASI,,247755529,"Sale, maintenance and repair of motorcycles and related parts and accessories"
MASHA-ALLAHU BOUTIQUE,OPPOSITE CHIEF ZONGO'S PALACE,86 OBUASI HIGH STREET,ZONGO,OBUASI,,243685429,Other retail sale of new goods in specialized stores
MASOLO'S SHOP,"ANYINAM ROUND ABOUT, OPPOSITE AGA BUS TERMINAL",ANYINAM ROAD,ANYINAM,OBUASI,,243611205,Manufacture of furniture
MASTER ADU TAILORING SHOP,BEHIND MEAT RETAILERS MARKET ADJACENT TOWN HALLBUILDING,CENTRAL STREET,CENTRAL MARKET,OBUASI,,247755187,Repair of other personal and household goods
MASTER AGYEMANG SPRAYING SHOP,ADJACENT YAW FOSU FILLING STATION,MANGOASE -BOGOBIRI ROAD,RAMIA,OBUASI,,276640064,Maintenance and repair of motor vehicles
MASTER AMOO'S ENTERPRISE,OPPOSITE OBUASI LIBRARY,NEW NSUTA ROAD,NEW NSUTA,OBUASI,,249827890,Retail sale of second-hand goods
MASTER ASAMOAH'S FITTING SHOP,BEHIND LENCLAY SPORT STADIUM,,ESTATE,OBUASI,,247923301,Maintenance and repair of motor vehicles
MASTER KWADWO ADDAI AUTO ELECTRICALS,ADJACENT YAW FOSU FILLING STATION,MANAGOASE-BOGOBIRI ROAD,RAMIA,OBUASI,,207407335,Sale of motor vehicle parts and accessories
MASTER PAUL'S SHOP,OPPOSITE BONSU'S VENTURES,DUNKWAN ROAD,KUNKA,OBUASI,,548797280,Manufacture of footwear
MASTER RED FITTING SHOP,ADJACENT YAW FOSU FILLING STATION,MANGOASE-BOGOBIRI ROAD,RAMIA,OBUASI,,248127644,Maintenance and repair of motor vehicles
MASTER SETH BOADU'S SHOP,INSIDE JUNCTION MARKET OPPOSITE THE PUBLIC TOILET,BINSERE ROAD,KUNKA,OBUASI,,267814161,Maintenance and repair of motor vehicles
MASTER YAW'S CARPENTRY SHOP,"YAW ABOAGYE ROAD JUNCTION END OF COUNCIL HOUSES,OPPOSITE PLOT NO. 60",OBUASI HGIH STREET,ZONGO,OBUASI,,243805310,Manufacture of furniture
MAT BUSINESS CENTRE,OPPOSITE NANA BOAH WIREDU'S HOUSE,OBUASI SECONDARY TECHNICAL ROAD,KOFFEKROM,OBUASI,,NULL,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
MATHEW AWUAH CHEMICAL SHOP,AKAPORISO BUS STOP -BEHIND AMA FLORENCEENTERPRISE,ABUSCO ROAD,AKAPORISO,OBUASI,"P. O. BOX 37, OBUASI",243333510,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
MATIDA OTU'S ENTERPRISE,ADOWN ARAKWA BUILDING AT THE GROUNG FLOOR,ABUSCO ROAD,AKAPORISO,OBUASI,,549087796,Restaurants and mobile food service activities
MATILDA COSMETICS,OPPOSITE MOSAMA CHURCH,ABUSCO ROAD,AKAPORISO,OBUASI,,265434631,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
MATILDA QUSANH SHOP,OPPOSITE ODOTOBERI RURAL BANK,ABU BONSRA  ROAD,OBUASI CENTRAL,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MATILDA'S STORE,OPPOSITE CATHOLCI INFORMATION CENTRE,SANSO MAIN ROAD,SANSO,OBUASI,,244742403,Retail sale of beverages in specialized stores
MAVIS BEAUTY SALON,H/NO BW 55 CLOSE TO THE MTN MAST,JILAC ROAD,BOGOBIRI,OBUASI,,247359499,Hairdressing and other beauty treatment
MAVIS MANTEY'S HAIRDRESSING SHOP,OPPOSITE KWAME ASANTE'S HOUSE,NANA PONKO SCHOOL ROAD,KUNKA,OBUASI,,247455930,Hairdressing and other beauty treatment
MAVIS SASU'S SHOP,BEHIND TOWN HALL STORE NO. 109,CENTRAL STREET,CENTRAL MARKET,OBUASI,"P. O. BOX 1054, OBUASI",540194643,"Retail sale of clothing, footwear and leather articles in specialized stores"
MAVIS SHOP,OPPOSITE MARANATHA HAIR CLINIC,ANYINAMFIE ROAD,ANYINAMFIE,OBUASI,,247662932,"Manufacture of wearing apparel, except fur apparel"
MAWULI SERVICES COMPANY LIMITED,ADJACENT ALL SAINT ANGLICAN PARISH,PRECIOUS JUNCTION,BEDIEM,OBUASI,"P. O. BOX 1020, OBUASI",204596714,Restaurants and mobile food service activities
MAXDE BARBERING SHOP,OPPOSITE NANA WIREDU'S MEMORIAL SCHOOL,OBUASI-KUMASI ROAD,BOGOBIRI,OBUASI,,504097555,Hairdressing and other beauty treatment
MAXI REX SPOT BAR,OPPOSITE WANGARA MOSQUE NEAR AUNTIE BEE SCHOOL,BEATRICE PRAH DRIVE,NEW NSUTA,OBUASI,,242502421,Beverage serving activities
MAXWELL MENSAH I. MILLS,BEHIND THE GAUSU MARKET,MARKET LANE,GAUSU,OBUASI,,NULL,Manufacture of grain mill products
MAXWELL NAAZIE LOTTO KIOSK,BEHIND L/A PRIMARY,L/A PRIMARY SCHOOL,ASONKORE NEW SITE,ASONKORE,,NULL,Gambling and betting activities
MBA MUSAH MOSQUE,PLOT NN 109 ADJACENT OBUASI CENTRAL MOSQUE,ASSIAMAH GUAHYIA STREET,NEW NSUTA,OBUASI,,NULL,Activities of religious organizations
ME GYEFO TEASE PROVISION,BONGOBIRI WEST H/NO BW62,MENSAKROM ROAD,BOGOBIRI,OBUASI,,247585838,Retail sale of food in specialized stores
MEDIMAFO TEASE BEAUTY SALON,BEHIND CHRIST THE KING HIGH SCHOOL,AKAPORISO MAIN ROAD,AKAPORISO,OBUASI,,546088332,Hairdressing and other beauty treatment
MEDIMAFO TEASE PROVISIONS STORE,ASONKROE MTTU,ASONKORE GOLDEN DENBIRED SNITT ROAD,ASONKORE SNITT,ASONKORE,"P. O. BOX 477, OBUASI",246806246,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MEDISON DIAGNOSTIC CENTER,OPPOSITE MANGOASE OLD CEMETERY,OBUASI HIGH STREET,GAUSU,OBUASI,"P. O. BOX UP 238, KUMASI",204613011,Hospital activities
MEGA BEAUTY SALON,BEHIND ABOAGYE MOTORS,BOGOBIRI ROAD,BOGOBIRI,OBUASI,"P. O. BOX 66, OBUASI",541376522,Hairdressing and other beauty treatment
MEGYEFO TEASE BEAUTY SALON,H/NOBW20/C NEAR ST FRANCES SCHOOL PRIAMRY,,BOGOBIRI,OBUASI,,543445663,Hairdressing and other beauty treatment
MEGYEFO TEASE PROVISIONS AND COLD STORE,BEHIND ST. AUGUSTINE SCHOOL,,ABOMPE,OBUASI,,548062204,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MEGYEFO TEASE SALON,BEHIND THE JUNCTION PUBLIC TOILET,NINE MILES ROAD,KUNKA,OBUASI,,NULL,Hairdressing and other beauty treatment
MEGYEFO TEASE SALON,BESIDES AMT MICRO FINANCE,KOKOTEASUA ABOMPE ROAD,OLD ESTATE,OBUASI,,246331419,Hairdressing and other beauty treatment
MELCOM SHOP,OPPOSITE QUEEN AGYIMA'S SCHOOL,BREATRICE PRAH DRIVE,NEW NSUTA,OBUASI,"P. O. BOX OB 16, OBUASI",542404252,Gambling and betting activities
MEMUNA FULANI'S STORE,OPPOSITE KUMASI STATION BEHIND ROSE MENSAH'SSHOP,CENTRAL ROAD,CENTRAL MARKET,OBUASI,,203141549,"Retail sale of hardware, paints and glass in specialized stores"
MEN CITY PROFESSIONAL HAIRSTYLIST,HOUSE NO. NN 20,AYAASE LANE,NEW NSUTA,OBUASI,,542024740,Hairdressing and other beauty treatment
MENSAH ISAAC'S MOTORS,OPPOSITE ENGINE FILLING STATION,DUNKWAN ROAD,BIDIEM,OBUASI,,246969895,Retail sale of automotive fuel in specialized stores
MENSAH MILL SHOP,ADJACENT ALL STARS SALON,DUNKWA ROAD,NYAMESO,OBUASI,,245382960,Manufacture of grain mill products
MENSAH SHOES SHOP,OPPOSITE GLEE FILLING STATION,BINSERE ROAD,KUNKA,OBUASI,,244963914,Manufacture of footwear
MENSAH'S AUTO ELECTRICAL SHOP,STADIUM JUNCTION ADJACENT LOTTO KIOSK,,BOGOBIRI,OBUASI,,241972197,Maintenance and repair of motor vehicles
MERCY ADU'S STORE,MERCY ADU STORE NEAR THE TAXI RANK,CENTRAL STATION ROAD,NEW NSUTA,OBUASI,,245150012,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MERCY AFRIYIE'S SHOP,BEHIND THE TOWN HALL BUILDING,AFUA AFRIFAA III ROAD,OBUASI CENTRAL,OBUASI,,243106031,Other retail sale in non-specialized stores
MERCY ATIKE FASHION CEMENT CENTRE,OPPOSITE GRANT JOSEPH MILLING CENTRE,ASONKORE L/A PRIMARY SCHOOL STREET,ASONKORE NEW SITE,ASONKORE,,248146972,"Manufacture of wearing apparel, except fur apparel"
MERCY AWUKYE'S COLD STORE,AKAPOARISO MARKET NEAR WAAURADE NA AYE STORES,,AKAPORISO,OBUASI,,244120116,Retail sale of food in specialized stores
MERCY BEAUTY SALON,ADJACNET CALVARY METHODIST CHURCH,ANYINAMFIE ROAD,ANYINAMFIE,OBUASI,,540236677,Hairdressing and other beauty treatment
MERCY COSMETICS,"ANYINAMFIE, BEHIND ANYINAM METHODIST PRIMARY B",ANYINAMFIE ROAD,ANYINAMFIE,OBUASI,,547967562,"Retail sale of clothing, footwear and leather articles in specialized stores"
MERCY FASHIONS,"OPPOSITE GPRTU, DUNKWA JUNCTION",DUNKWA ROAD,KUNKA NEW ROAD,OBUASI,,503204568,"Manufacture of wearing apparel, except fur apparel"
MERCY KYEI'S HAIRDRESSING SALON,ADJACENT COCOA SHED BEHIND HOUSE NO MN 4,OBUASI HIGH STREET,MANGOASE,OBUASI,,249343324,Hairdressing and other beauty treatment
MERCY NATONAA'S PROVISIONS STORE,ADJACENT KWABENA ANTHONY'S BAR,,BINSERE,OBUASI,,247374341,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MERCY OWUSU PROVISIONS STROE,ADJACENT NYAME NA AYE PROVISIONS STORE,,KUNKA,OBUASI,,244290524,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MERCY'S ENTERPRISE,BESIDES APATA KESIE MU,ANTWI SAMPA ROAD,CENTRAL MARKET,OBUASI,,249523395,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MERCY'S ENTERPRISE,BESIDES APATA KESIE MU,ANTWI SAMPA ROAD,CENTRAL MARKET,OBUASI,,249523395,Retail sale of textiles in specialized stores
MERCY'S ENTERPRISE,OPPOSITE PRESBY PRIMARY SCHOOL,SCHOOL ROAD,J.J. NEW NSUTA,NEW NSOUTA OBUASI,"P. O. BOX 88, OBUASI",244272687,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MERCY'S ENTERPRISE,OPPOSITE PRESBY PRIMARY SCHOOL,SCHOOL ROAD,J.J. NEW NSUTA,NEW NSOUTA OBUASI,"P. O. BOX 88, OBUASI",244272687,Retail sale of textiles in specialized stores
MERCY'S SHOP,ADJACENT OWUSUA'S SHOP,ANYINAMFIE ROAD,ANYIN,OBUASI,,248909063,Retail sale of food in specialized stores
METHODIST CHURCH,OPPOSITE NTONSUA PRIMARY SCHOOL,,NTONSUA,OBUASI,,544733681,Activities of religious organizations
METHODIST CHURCH,OPPOSITE NTONSUA PRIMARY SCHOOL,,NTONSUA,OBUASI,,544733681,Activities of religious organizations
METHODIST CHURCH,OPPOSITE NTONSUA PRIMARY SCHOOL,,NTONSUA,OBUASI,,544733681,Activities of religious organizations
METHODIST CHURCH,OPPOSITE NTONSUA PRIMARY SCHOOL,,NTONSUA,OBUASI,,544733681,Activities of religious organizations
METHODIST CHURCH,OPPOSITE HOLY TRINITY CATHOLIC CHURCH,PRECIOUS STREET,ANYINAM,OBUASI,"P. O. BOX 495, OBUASI",244675918,Activities of religious organizations
METHODIST CHURCH,OPPOSITE HOLY TRINITY CATHOLIC CHURCH,PRECIOUS STREET,ANYINAM,OBUASI,"P. O. BOX 495, OBUASI",244675918,Activities of religious organizations
METHODIST CHURCH,OPPOSITE HOLY TRINITY CATHOLIC CHURCH,PRECIOUS STREET,ANYINAM,OBUASI,"P. O. BOX 495, OBUASI",244675918,Activities of religious organizations
METHODIST CHURCH,OPPOSITE HOLY TRINITY CATHOLIC CHURCH,PRECIOUS STREET,ANYINAM,OBUASI,"P. O. BOX 495, OBUASI",244675918,Activities of religious organizations
METHODIST CHURCH,OPPOSITE METHODIST CEMETRY,,ODUMASI,OBUASI,,242781592,Activities of religious organizations
METHODIST CHURCH,OPPOSITE METHODIST CEMETRY,,ODUMASI,OBUASI,,242781592,Activities of religious organizations
METHODIST CHURCH,OPPOSITE METHODIST CEMETRY,,ODUMASI,OBUASI,,242781592,Activities of religious organizations
METHODIST CHURCH,OPPOSITE METHODIST CEMETRY,,ODUMASI,OBUASI,,242781592,Activities of religious organizations
METHODIST CHURCH,ADJACENT THE BAPTIST CHURCH,AKAPORISO STREET,AKAPORISO,OBUASI,,249162677,Activities of religious organizations
METHODIST CHURCH,ADJACENT THE BAPTIST CHURCH,AKAPORISO STREET,AKAPORISO,OBUASI,,249162677,Activities of religious organizations
METHODIST CHURCH,ADJACENT THE BAPTIST CHURCH,AKAPORISO STREET,AKAPORISO,OBUASI,,249162677,Activities of religious organizations
METHODIST CHURCH,ADJACENT THE BAPTIST CHURCH,AKAPORISO STREET,AKAPORISO,OBUASI,,249162677,Activities of religious organizations
METHODIST SEWING CENTER,ADJACENT THE METHODIST CHURCH,NANKABA RAOD,ANYINAMFIE,OBUASI,"P. O. BOX 495, OBUASI CENTRAL",NULL,"Manufacture of wearing apparel, except fur apparel"
METRO CARPET AND MATTRESS,ON THE CURVE OFF THE MAIN ROAD TO SECONDARYTECHNICAL,OBUASI HIGH STREET,KOFFEKROM,OBUASI,,235076382,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores"
MF EMBOSSMENT,ON THE LEFT SIDE OF HOSPITAL ROAD CLOSE TO DVLA,HOSPITAL ROAD,GAUSU,OBUASI,"P. O. BOX 159, CENTRAL-OBUASI",246494310,Other transportation support activities
MICHAEL AGYEKUM'S  LICENSED CHEMICAL SELLER,ADJACNET CATHOLIC INFORMATION CENTRE,SANSO MAIN ROAD,SANSO,OBUASI,,246565770,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
MICHAEL BOUTIQUE AND BARBERING SHOP,BEHIND KOFI KRA'S STOREY BUILDING,KOFI KRA ROAD,BOGOBIRI,BOGOBIRI,,246807910,Hairdressing and other beauty treatment
MICHEAL ACQUAH'S STORE,BEHIND THE TOWN HALL BUILDING,AFUA AFRIFAA III WALK,CENTRAL,OBUASI,"P. O. BOX 789, OBUASI",246557245,"Retail sale of clothing, footwear and leather articles in specialized stores"
MICHEAL AGYAPONG SHOE MAKING SHOP,OPPOSITE AGYEMAN GAS,NYAMESO ROAD,KUNKA JUNCTION,OBUASI,,503338180,Manufacture of footwear
MICHEAL AKOSAH BARBERING SHOP,"AKAPORISO MARKET, BEHIND AMED CORN MILL SHOP",,AKAPORISO,OBUASI,,272130126,Hairdressing and other beauty treatment
MICHEAL NANTWI'S DRUGS STORE,ADJACENT AFUA AFRIFAA II ROAD BEHIND HAKA DUNIA'SSHOP,AFUA AFRIFUA III WALK,CENTRAL,OBUASI,"P. O. BOX 506, OBUASI",244788501,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
MICHEAL OWUSU NTIM'S MILLING SHOP,OPPOSITE SECONDARY TECHNICAL SCHOOL,ENEFEL ROAD,GAUSU,OBUASI,,NULL,Manufacture of grain mill products
MICRO MOBILE LINKS LIMITED,"HOUSE NO. MN 2, NEAR MANGO HOTEL JUNCTION",OBUASI HIGH STREET 160,MANGOASE,OBUASI,,572689441,"Other retail sale not in stores, stalls or markets"
MIGHTY COMPUTERS AND ACCESSORIES,LEFT SIDE OF THE SECONDARY TECHINCAL ROAD,OBUASI SECONDARY TECHNICAL ROAD,KOFFEKROM,OBUASI,"P. O. BOX 215, OBUASI",246758798,Repair of computers and peripheral equipment
MIGILORD CLASSIC HAIRCUTS,ADJACENT  OBUASI DUNKWA JUNCTION,,BOGOBIRI,BOGOBIRI,,NULL,Hairdressing and other beauty treatment
MIKE ADU OSEI'S SHOP,BEHIND CENTRAL MARKET ADJACENT TOWN HALL BUILDING,AFUA AFRIFAA III WALK,CENTRAL MARKET,OBUASI,"P. O. BOX 178, OBUASI",246377128,Other retail sale of new goods in specialized stores
MIKE OBENG'S COMPANY LIMITED,OPPOSITE GAUSU MARKET,GAUSU ROAD,KULAM,OBUASI,,261129840,Electrical installation
MIKESTELL COMPUTER TRAINING SCHOOL,OPPOSITE CLUB 225,OBUASI SECONDARY TECHNICAL ROAD,KOFFEKROM,OBUASI,,NULL,Other education n.e.c.
MIKESTELL COMPUTERS,"ALONG THE OBUASI SECONDARY TECHNICAL ROAD, ON THELEFT SIDE",OBUASI SECONDARY TECHNICAL ROAD,KOFFEKROM,OBUASI,,NULL,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
MILIKI'S PROVISION STORE,ADJACENT GRACE ANNAN FOOD SHOP,"ROUND ABOUT, ANYINAM",ANYINAM,OBUASI,,243524077,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MILLICENT AMONO'S STORE,OPPOSITE NOT BY MIGTH ENTERPRISE,ODOTOBRI RURAL BANK ROAD,OBUASI CENTRAL,OBUASI,,242102356,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MILLICENT ASUMAN-ADU'S SHOP,OPPOSITE THE TOWN HALL BUILDING,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,"P. O. BOX 829, OBUASI",247503058,"Manufacture of wearing apparel, except fur apparel"
MILLICENT'S SHOP,OPPOSITE THE STATION STORES,OFORI AGYEMANG,OBUASI CENTRAL,OBUASI,,277644637,"Manufacture of wearing apparel, except fur apparel"
MINA'S SHOP,BEHIND AGYANA ADOM ARAKWA SHOP,OBUASI -KUMASI ROAD,ANTOBUASI,OBUASI,,242100029,"Manufacture of wearing apparel, except fur apparel"
MINISTRY OF FOOD AND AGRI CULTURE,ADJACENT OBUASI MUNICIPAL ASSEMBLY,GOVERNMENT HOSPITAL ROAD,RAMIA,OBUASI,"P. O. BOX 300, OBUASI",NULL,General public administration activities
MINUAH SUPERMARKET,OPPOSITE ANYINAM LODGE,BRUNO STREET,ANYINAM,OBUASI,,277305454,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MISTY LOTTO KIOSK,BESIDE THE BLACK PARK,KAMARA DINI ROAD,ESTATE,OBUASI,,540567485,Gambling and betting activities
MIZPAH PROVISIONS,OPPOSITE A.G.A SCHOOL,OBUASI HIGH STREET,KOFFEKROM,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MOANNI TRADING ENTERPRISE,OPPOSITE GOLDEN PRIDE AND GOLDEN SPOT,OBUASI HIGH STREET,ZONGO,OBUASI,,NULL,"Retail sale of clothing, footwear and leather articles in specialized stores"
MOBILE HOUSE ENTERPRISE,OPPOSITE HORSEY PARK BUILDING,CENTRAL STATION ROAD,NEW NSUTA,OBUASI,,248119909,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
MOBILIZE SPOT,ADJCENT GOD IS ONE TAILORING SHOP,,BINSERE,OBUASI,,275729733,Beverage serving activities
MODERN SALON,BOGOBIRI H/NO BG 10,BOGOBIRI MAIN ROAD,BOGOBIRI,OBUASI,,540666652,Hairdressing and other beauty treatment
MODEST CHILD INVESTMENT COMPANY,OPPOSITE ADOM ARA KWA ENTERPRISE,ABUSCO ROAD,AKAPORISO,OBUASI,"P. O. BOX 291, OBUASI",272007965,"Trusts, funds and similar financial entities"
MOHAMMED ABUBAKARI'S ENTERPRISE,BEHIND FIRST NATIOANL BANK,KWAME OBENG ROAD,NEW NSUTA,OBUASI,"P. O. BOX 611, OBUASI",246372140,"Retail sale of clothing, footwear and leather articles in specialized stores"
MOHAMMED KAMAL'S SHOP,BEHIND HOUSE NO. OC 472,ABU BONSRA I ROAD,OBUASI CENTRAL,OBUASI,,246723388,Specialized design activities
MONICA ABOAGYE'S STORE,OPPOSITE PRECIOUS NATURAL HERBAL CENTRE,DUNKWAN ROAD,KUNKA,OBUASI,,246043715,"Retail sale of clothing, footwear and leather articles in specialized stores"
