ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,TELEPHONE NO.,EMAIL,SECTOR,SIZE,,,,
AMINU TAILORING SHOP,BEHIND BABYFACE CHEMICAL,NYOHINI ROAD,NYOHINI,TAMALE,,0509265608,,INDUSTRY,A,,,,
AMISHATU STORE,STORE NO.E330,DABOYA ROAD,ABOABO,SABON-GIDA,,0546038585,,SERVICE,A,,,,
AMISON SECRETARIAL SCHOOL,"OLD KALADAN BARRACKS, OFFICERS MESS",,TAMALE,TAMALE,"P.O.BOX TL 82, TAMALE",,,SERVICE,A,,,,
AMM MISBI VENTURES,BEHIND SOCIAL WELFARE,,"CHOGGU, SAKASAKA",SAKASAKA,"P. O. BOX 374, TAMALE NORTH",0243318312,,SERVICE,A,,,,
AMMAA ANIMA PROVISION STORE,OPPOSITE DATOYILI JUNIOR HIGH SCHOOL,BUPEI ROAD,DATOYILI,DATOYILI,,0548769259,,SERVICE,A,,,,
AMOS BARBERING SALON,BEHIND LAS HOTEL,KABSAD ROAD,NIM AVENUE,TAMALE,"P. O. BOX 121, TAMALE",0242574765,erickofiabrefa@yahoo.com,SERVICE,A,,,,
AMS AUTO ELECTRICALS,OPPOSITE SINAPI ABA BUILDING,HOSPITAL ROAD,KUKUO,TAMALE,"P. O. BOX 272, TAMALE",0243850472,,SERVICE,A,,,,
AMSHAW TAILORING,OPPOSITE FANTASTIC BARBERING SALON,MAPUUKA JUNCTION ROAD,NA LUNG FONG,BILPIELA,,0543313394,,INDUSTRY,A,,,,
AMSHAWU STORE,BY THE PUBLIC TOILET,SAVELUGU ROAD,WARIZEHI,MOSHIE ZONGO,,0244206164,,SERVICE,A,,,,
AMUHERA STATIONERY STORE,BEHIND LAMASHEGU PRIMARY SCHOOL,DEAHA CLINIC ROAD,KALADAN,LAMASHEGU,,0203517739,,SERVICE,A,,,,
AMWASH ENTERPRISE,"TUVUWU AREA, NEAR ACCESS GH. LTED",,SALAMBA,TISHIGU,"P. O. BOX 1561, TAMALE",0244666882,,SERVICE,A,,,,
ANA ABUBAKAR  ENTERPRISE,BEHIND ZENITH BANKC242,SAVELUGU ROAD,CENTRAL MARKET,ABOABO,"P. O. BOX 899, TAMALE",0243461250,,SERVICE,A,,,,
ANADI POSH BEAUTY CARE,NEAR TISHIGU CENTRAL MOSQUE,TISHIGU ROAD,TISHIGU,TISHIGU,,0246292426,,SERVICE,A,,,,
ANADWO YEDE DRINKING BAR,200 METERS OPPOSITE WATOO HOUSE,NAKPANZUO ROAD,NAKPANZUO,NAKPANZUO,,0243827753,,SERVICE,A,,,,
ANAMZOYA VENTURES,INFRONT OF TAMALE CENTRAL MOSQUE,DABOYA ROAD,ABOABO CENTRAL MARKET,ABOABO,"P. O. BOX 2156, TAMALE",0243731554,,SERVICE,A,,,,
ANANE'S WELDING SHOP,OPPOSITE THE JUMA MOSQUE,INDUSTRIAL AREA ROAD,INDUSTRIAL AREA,NYOHINI,,,,SERVICE,A,,,,
ANANI BUILDING MATERIALS STORE,AFA MOHAMMED YILI OPPOSITE DEPARTMENT OF PARKS ANDGARDENS,WATER WORKS ROAD,WARIZAHI,MOSHEI ZONGO,,0242887679,,SERVICE,A,,,,
ANANI'S GRINDING MILL,AJIA BALIMA YILI BEHIND AMAZING PROFESSIONAL INSTITUTE,WATER WORKS ROAD,WARIZAHI,MOSHIE ZONGO,"P. O. BOX TL 297, TAMALE METRO",0208079622,,INDUSTRY,A,,,,
ANAS AND SONS AUTO PARTS,BY ST. MARY'S GIRLS INSTITUTE,KUMASI ROAD,NAKPANZUO,NAKPANZUO,,0244715255,,SERVICE,A,,,,
ANAS ENTERPRISE,BESIDE BUIPILA HEALTH INSURANCE OOFICE,BUIPILA ROAD,BUIPILA ROAD,TUTINGLI,"P. O. BOX TL 744, TAMALE",0261713171,,INDUSTRY,A,,,,
ANAS SHOP,"MUNCHIRI HOUSE OPPOSITE ABD, POURIDGE SELLER","HSE NO.I.157, MARKET STREET",ABOABO,TAMALE-ABOABO,,0205356443,,SERVICE,A,,,,
ANASS AUTO WORKS AND SPARE PARTSS,OPPOSITE GHANA COTTON OFFICE,INDUSTRIAL ROAD,LAMASHEGU,LAMASHEGU,"P. O. BOX 437, TAMALE",0268354776,,SERVICE,A,,,,
ANASS BARBERING SHOP,AT HAJIA ALIMA'S HOUSE ADJACENT VVIP BUS STATION,VVIP BUS STATION ROAD,SABON GIDA,SABON GIDA,,0266720032,,SERVICE,A,,,,
ANASS METAL WORKS,ADJACENT SKY PETROLEUM NO.2,INDUSTRIAL ROAD,LAMASHEGU,LAMASHEGU,,0242080699,,INDUSTRY,A,,,,
ANASS SHOP,OPPOSITE BANJIDA JUNCTION,2ND RING ROAD,KAKPAYILI,KAKPAYILI,,0246363699,,SERVICE,A,,,,
ANATU ABDULLAI STORE,BEHIND CENTRAL MARKET TOILET C634,DABOYA ROAD,CENTRAL MARKET,ABOABO,,0242062281,,SERVICE,A,,,,
ANATU DALLAH SHOP,BEHIND CENTRAL MARKET TOILET C678`,DABOYA ROAD,CENTRAL MARKET,ABOABO,,0266459992,,INDUSTRY,A,,,,
ANATU FASDHION SHOP,BEHIND KPANDAI DOO YILY,,LAMASHEGU,LAMASHEGU,,0543313348,,INDUSTRY,A,,,,
ANATU FASHION CENTRE,OPPOSITE PRESBY PRIMARY,OLD CEMETRY ROAD,GUKPEGU,GUKPEGU,,0205780638,,INDUSTRY,A,,,,
ANATU HARUANA STORE,ADJACENT CENTRAL MARKET TOILET C901,KUMBUNGU ROAD,CENTRAL MARKET,ABOABO,,0200552865,,SERVICE,A,,,,
ANATU IDDRISU,BEHIND ZENITH BANK C196,SAVELUGU ROAD,CENTRAL MARKET,ABOABO,,0207226483,,SERVICE,A,,,,
ANATU IDDRISU ENTERPRISE,BEHIND ZENITH BANK C194,SAVELUGU ROAD,CENTRAL MARKET,ABOABO,,0242627269,,SERVICE,A,,,,
ANATU JOE ENTERPRISE,MY WILL LIMITES HOUSE (ADJACENT),ABOABO ROAD,SABON GIDA,SABON GIDA,"P. O. BOX 824, TAMALE-TISHIGU",0242564664,,SERVICE,A,,,,
ANATU PROVISION STORE,BEHIND LAMASHEGU PUBLIC TOILET,YAPEI ROAD,LAMASHEGU,LAMASHEGU,,0246227372,,SERVICE,A,,,,
ANATU STORE,BEHIND CATHOLIC SECRETARAIL CENTRE E.536,OLD CEMETRY ROAD,DAGBANDABE FONG,GUKPEGU,,0263077979,,SERVICE,A,,,,
ANATU VENTURES,BEHIND PUBLIC TOILET,DABOYA ROAD,CENTRAL MARKET,ABOABO,,0244547072,,SERVICE,A,,,,
ANCHOR COMPUTERS,OPPOSITE POLICE BARRACKS SCHOOL,POST OFFICE ROAD,TISHIGU,TISHIGU,,0209939088,,SERVICE,A,,,,
ANCHOR STATIONERY,FIRST GHANA SAVINGS AND LOANS BUILDING,AGRIC DEVELOPMENT ROAD,POST OFFICE AREA,TISHIGU,"P. O. BOX TL 1972, TISHIGU",,anchorstationery@gmail.com,SERVICE,A,,,,
ANDA ENTERPRISE,BEHIND NPP OFFICE NEAR HASH CHEMICALS,SG-SSB BANK ROAD,GUKPEGU,GUKPEGU,,0244934430,,SERVICE,A,,,,
ANDA ENTERPRISE,"OPPOSITE DEPSOCOM, NEAR HASH CHEMICALS",SG-SSB BANK ROAD,GUKPEGU,GUKPEGU,,0244934430,,SERVICE,A,,,,
ANDA MOTHER CARE,ALONG ALHASSAN IDDRISU BUILDING,KUMBUNGU ROAD,CENTRAL MARKET,ABOABO,,0206577019,,SERVICE,A,,,,
ANDA SOWING SHOP,OPPOSITE APOSTOLIC CHURCH  OF GHANA,NIB ROAD,CHANGLI,TAMALE,,0244687837,,INDUSTRY,A,,,,
ANDA STORE,BESIDE FILLING STATION ABOABU MARKET ENTRANCE,DABOYA ROAD,ABOABU,SABONJIDA,,0249989920,,SERVICE,A,,,,
ANDA STORE,BAHAMANG YILI I.27,KUMBUNGU ROAD,ABOABO,TAMALE,,0260735974,,SERVICE,A,,,,
ANDA YAKUBU ENTERPRISE,INFRONT OF TISHIGU ROAD,TISHIGU ROAD,TISHIGU,TISHIGU,,0244703006,,SERVICE,A,,,,
ANDA'A STORE,KPAM LAN'S YELI NO. B437,,SALAMBA,TISHIGU,,0547312142,,SERVICE,A,,,,
ANDA'S FASHION,BESIDE BABA'S CEMENT ENTERPRISE,BILPIELA ROAD,BILPIEALA TUUGBUNI,BILPIELA,,,,INDUSTRY,A,,,,
ANDA'S SPECIAL FOOD,INSIDE THE MAIN BUS STOP,SAVELUGU ROAD,TRANSPORT YARD,ABOABO,,,,SERVICE,A,,,,
ANDARATU ENTERPRISE,NEAR CENTRAL MARKET MOSQUE STORE NO. B277,DABOYA ROAD,CENTRAL MARKET,ABOABO,,0242166647,,SERVICE,A,,,,
ANDARATU IBRAHIM SHOP,OPPOSITE OLIBAL EVANGLICAL CHURCH,OLD HOSPITAL ROAD,TISHIGU,TISHIGU,"P. O. BOX 232, TISHIGU",0549116411,,SERVICE,A,,,,
ANDARATU RASHID  STORE,BEHIND SHEANUT MARKET,,ABOABU,SABONGIDA,,0547623995,,SERVICE,A,,,,
ANDAS PROVISION STORE,ADJACENT THE LITTLE WAY PRIMARY KG,TAMALE-KUMASI,NYOHINI,NYOHINI,,0247091853,,SERVICE,A,,,,
ANDAWAY GRINDING MILL,DOOZO CHIEF PALACE,NEW CHIEF PALACE ROAD,NAPALLI FONG,KOTINGLI,,0240381177,,INDUSTRY,A,,,,
ANDY ENTERPRISE,OPPOSITE VICTORY,ALONG VICTORY CINEMA ROAD,SABON-GIDA,TAMALE,,0244908051,,SERVICE,A,,,,
ANEX ENTERPRISE,ALONG INDUSTRIAL AREA ROAD,INDUSTRIAL AREA ROAD,NYOHINI SOUTH,NYOHINI,,0202169659,,SERVICE,A,,,,
ANFAANI TAILORING SHOP,100 METERS AWAY FROM AIRTEL MAST,KALANDAN ROAD,NYANI FONG,NYANI FONG,,0242689727,,INDUSTRY,A,,,,
ANFANI GLOBAL COMPANY LIMITED,"ADJECENT 998, ALONG IK PHOTOS ROAD",IK PHOTOS ROAD,SABON GIDA,SABON GIDA,,0205276375,,SERVICE,A,,,,
ANGELINA BEAUTY SALON,NEAR FUSEINI AMINU LICENCE CHEMICAL,SAKASAKA ROAD,TISHIGU,TISHIGU,,0244137928,,SERVICE,A,,,,
ANGLICAN DIOCESE OF TAMALE (NR),ADJACENT MUNICIPAL CHIEF EXECUTIVE RESIDENCE AGIC TAMALE,,TAMALE,TAMALE,"P. O. BOX 110, TAMALE",,,SERVICE,A,,,,
ANHINAW STORE,"STORE A42, OPPOSITE VODAFONE OFFICE",SAVELUGU ROAD,TAMALE CENTRAL MARKET,TAMALE,,0245276435,,SERVICE,A,,,,
ANIBANG FUSEINI WORKSHOP,OPPOSITE JUNI'S AGRO LIMITED,JUNI AGRO LIMITED ROAD,BINA BAANI,NYOHINI,,0207444448,,SERVICE,A,,,,
ANIBIRDS FARM ANNEX,OLDMAN'S HOUSE NO.B427,,,TISHIGU,"P. O. BOX 285, EDUCATION RIDGE",0243906966,,AGRICULTURE,A,,,,
ANIFA MINERAL STORE,INFRONT OF METRO MASS STATION,METRO MASS STATION ROAD,ABOABO,ABOABO,,0247979739,,SERVICE,A,,,,
ANIFA SANDALS SHOP,OPPOSITE PICORNA HOTEL,ABOABU ROAD,ABOABU,SABONJIDA,,0262216001,,SERVICE,A,,,,
ANIFATU MIKAEEL STORE,ADJACENT CENTRAL MARKET TOILET C893,KUMBUNGU ROAD,CENTRAL MARKET,ABOABO,,0244466225,,SERVICE,A,,,,
ANIM PLUMBING SHOP,NEAR NIB BANK E EXT. 21B,NIB ROAD,CHANGLI,CHANGLI,,0264531387,,SERVICE,A,,,,
ANIM STATION,NEXT TO SABAA FAST FOOD,,NYOHINI,NYOHINI,,0205598926,,SERVICE,A,,,,
ANIN BOUTIQUE,OPPOSITE TUUGBNI - BUIPILA DAM ROAD,BUIPILA ROAD,BUIPILA,TUTINGLI,,0245123805,,SERVICE,A,,,,
ANISA ENTERPRISE,IN FRONT OF TIZAA INTERNATIONAL SCHOOL,,LAMASHEGU,LAMASHEGU,,0241844748,,SERVICE,A,,,,
ANISAH PROVISION STORE,PARLIAMENT ROAD FIRST STORE,BILPIELA ROAD,BILPIELA TUUGBUNI,BILPIELA,"P. O. BOX TL1519, TAMALE",,,SERVICE,A,,,,
ANISE BAINY VENTURES,NEAR SALAGA STATION,TAMALE TOWN ROAD,TISHIGU,TISHIGU,,0243479216,,SERVICE,A,,,,
ANKISIWAI ENTERPRISE,AFTER SAKASAKA PRESBY PRIMARY SCHOOL,SAVELUGU ROAD,SAKASAKA,MOSHIE ZONGO,,0205975642,,SERVICE,A,,,,
ANMATU STORE,BEHIND ABOABU MOSQUE,DABOYA ROAD,ABOABU,SABONJIDA,,,,SERVICE,A,,,,
ANNATU FASHION CENTRE,DOHINAYILI ON THE ROAD TO TAXIS LAST STOP STATION,ST CHARLES ROAD,DOHINAYILI,TAMALE,,0546907099,,INDUSTRY,A,,,,
ANNETT'S FASHION CENTER,OPPOSITE ASSOCIATION OF RURAL BANKS,HOSPITAL ROAD,SDA AREA,TAMALE,,0244220641,,INDUSTRY,A,,,,
ANNOITED HAIR STYLE,BEHIND LAMASHEGU PRIMARY SCHOOL,DEAHA CLINIC ROAD,KALANDA,LAMASHEGU,,0574719098,,SERVICE,A,,,,
ANNOR ISAAC AUTO PARTS AND ELECTRICALS,BY ELSIE LUND SCHOOLS,KUMASI ROAD,NAKPANZUO,NAKPANZUO,,0249323578,,SERVICE,A,,,,
ANOINTED HANDS BEAUTY SALON,ADJACENT RAFIA FASHION SHOP,DAGOMBA ROAD,TISHIGU,TISHIGU,,0249515288,,SERVICE,A,,,,
ANOITED ELECTRICALS INTREPRISE SERVICES LTD,FIRST FLOOR ON THE ZARATU PLAZA ADJACENT POLICE STATION,BOLGATANGA MAIN HIGH STREET,SAKASAKA,MOSHIE ZONGO,"P. O. BOX TL1830, TAMALE MAIN",0540411029,aee123@yahoo.com,SERVICE,A,,,,
ANSUARE MOTORS TOYOTA HOUSE,OPPOSITE SADA MAIN OFFICE,INDUSTRIAL AREA ROAD,INDUSTRIAL AREA,NYOHINI,"P. O. BOX TL 310, TAMALE",0208275487,,SERVICE,A,,,,
ANSUARE WASHING BAY,INFRONT OF ANSUARE MOTORS TOYOTA HOUSE,INDUSTRIAL AREA,INDUSTRIAL AREA,NYOHINI,,0540847779,,SERVICE,A,,,,
ANSUARI-DEEN ISLAMIC SCHOOL,OPPOSITE HNO F66,,NYOHINI,NYOHINI,"P. O. BOX 116, ",0244079115,,SERVICE,A,,,,
ANT PET COMPANY LIMITED,ADJECENT GOLD COAST SECURITIES OFFICE,DOUBLE ROAD,BUSINESS CENTRAL DISTRICT,SABON GIDA,,0278790055,nielant@yahoo.com,SERVICE,A,,,,
ANTE BINTO MOTHER CARE,BEHIND NDC PARTY OFFICE,,ABOABU,SABONGIDA,,0240043638,,SERVICE,A,,,,
ANTE SALA SHOP,BEHIND MASENGER HOUSE NO. B580,,SALAMBA,TISHIGU,,0544608689,,SERVICE,A,,,,
ANTHAFF ORBIT TECHNOLOGIES,"ALONG THE IB DOT COM LANE, OPPOSITE BRO. FASHION SHOP",HSE. NO.I.142. ABOABO,ABOABO,ABOABO,"P. O. BOX AX 1405, MARKET CIRCLE",0207412646,,SERVICE,A,,,,
ANTHONY STORE,ABOABU MARKET STORY BUIDINGTOPFLOOR STORE NUMBER 24,OFF ABOABU ROAD,ABOABU,SABONJIDA,,0547167160,,SERVICE,A,,,,
ANTI ATTAH STORE,AFA BADULAI MAMPRUSI'S HOUSE NO.B429,ON SAKASAKA ROAD,,TISHIGU,,0244867411,,SERVICE,A,,,,
ANTI SERWAH STORE,BEHIND HFC BANK,DABOYA ROAD,ABOABO CENTRAL MARKET,ABOABO,,0244478724,,SERVICE,A,,,,
ANTIE LUCY,INSIDE CENTRAL MARKET STORE NO.B85,SAVELUGU ROAD,CENTRAL MARKET,ABOABO,,0206969330,,SERVICE,A,,,,
ANTIQUES AND AFRICA,CULTURAL CENTRE INSIDE,JUBILEE PARK LANE,CULTURAL CENTRE,TISHIGU,,0246773132,,SERVICE,A,,,,
ANYASS MOTORS,OPPOSITE BONZALI BANK HSE NO. I75 ON THE KUMBUNGUROAD,KUMBUNGU ROAD,POLOYA FONG,ABOABO,,0246371918,,SERVICE,A,,,,
APC'S FASHION CENTER,ADJACENT MODERN HAIR CUTZ,AL-MARKAZIA SCHOOL ROAD,ZOGBELI,TAMALE,,0263731616,,INDUSTRY,A,,,,
APHRODISAIC INN,HOUSE NO. E EXTER. 248,,GUKPEGU,GUKPEGU,,0244565617,,SERVICE,A,,,,
APIAH ENTERPRISE,ADJACENT EBEN CITY ART WORKS,DABOYA ROAD,ZOGBELI,ZOGBELI,,0206563419,,SERVICE,A,,,,
APOSTLE FURNITURE WORKS,NEAR MASTER EVANS WELDING SHOP,SAWALE ROAD,SAWALE AREA,KAKPAYILI,,0543370552,,INDUSTRY,A,,,,
APOSTLES REVELATION SOCIETY,OPPOSITE MEET ME THERE,SAVELUGU ROAD,SAKASAKA,MOSHIE ZONGO,,0244484276,,SERVICE,A,,,,
APPRO-M COMPANY LTD,,,TAMALE,TAMALE,"P.O.BOX  568, TAMALE",,,INDUSTRY,A,,,,
APPROACH ELECTRICALS,AFTER THE ZARATU PLAZA,SAVELUGU ROAD,SAKASAKA,MOSHIE ZONGO,,0208255689,,SERVICE,A,,,,
APSONIC,OPPOSITE STAR BOYZ BARBERING SSLON,KAKPAYILI ROAD,KAKPAYILI,TUTINGLI,,0267667666,,SERVICE,A,,,,
APSONIC MOTOR CHINA-AFRICA DEVELOPMENT,DIRECT OPPOSITE OLA CATHOLIC CHURCH,,TAMALE,TAMALE,"P.O. BOX TL 2676, TAMALE",,,SERVICE,A,,,,
AQUINAS MAME SHOP,NEAR CONCRETE DRAIN,GBENJILI ROAD,CHENGLI,TAMALE,,0243241742,,SERVICE,A,,,,
AR AKANTA FASHION CENTRE,BEHIND HOUSE NO. E202,ZANGO ROAD TOWARD OLD CEMETARY,BUGLANA FONG,TAMALE,,0246508316,,INDUSTRY,A,,,,
AR. SALIFU-SUHUYINI CHEMICAL SHOP,ADJACENT KANAWU PLAZA ALONG DOUBLE ROAD,DOUBLE ROAD,,SABON GIDA,,0208077967,,SERVICE,A,,,,
ARAHAMATU STORE,ALHAJ MADOGU HOSUE,,VICTORY CINEMA,SABONGIDA,,0266722697,,SERVICE,A,,,,
ARAHAMATU'S FASHION DESIGN,BEHIND KINGDOM HALL OF JEHOVEH WITHNESS,,NYANI-FONG,NYANI-FONG,,0249709446,,INDUSTRY,A,,,,
ARAMAH TAILORING SHOP,NEAR DEATH MATERNITY,LAMASHEGU CENTRAL MOSQUE ROAD,LAMASHEGU,LAMASHEGU,,0263154815,,INDUSTRY,A,,,,
ARAWUMA ENTERPRISE,INFRONT OF THE CENTRAL MARKET MOSQUE,DABOYA,ABOABO CENTRAL MARKET,ABOABO,"P. O. BOX 1718, TAMALE",0244720836,,SERVICE,A,,,,
ARCHDIOCESE OF TAMALE,,,TAMALE,TAMALE,"P. O. BOX 163, TAMALE",,,SERVICE,C,,,,
ARCHDIPCESAN CATHOLIC SECRETARIAT,"NATIONAL INVESTMENT BANK, OPPOSITE E.TS.360",OLD CEMETRY ROAD,DAGBANDABE FONG,GUKPEGU,"P. O. BOX TL 42, TISHEGU",0240322180,tamdios@yahoo.com,SERVICE,A,,,,
ARCHITECTURAL AND ENGINEERING SERVICES LIMITED,OPPOSITE CENTRAL HOSPITAL,LOUISVILLE ROAD,CENTRAL HOSPITAL REA,TAMALE,"P. O. BOX 141, TAMALE",,,SERVICE,A,,,,
ARD APEX BANK LTD,NEAR DALEX FINANCE,SALAGA ROAD,CHANGLI,CHANGLI,"P. O. BOX 977, TAMALE",0244755800,kwejis308@yahoo.co.uk,SERVICE,A,,,,
ARD VOCATIONAL TRAINING SCHOOL,NEAR DAKPEMA CHIEF'S PALACE,YAPEI ROAD,DAKPEMA FONG,NAYILI FONG,"P. O. BOX 953, TISHIGU",0243618801,,SERVICE,A,,,,
AREA STORE,BEHIND HOUSE NUMBER NY8,BISCO ROAD,NYOHINI,TAMALE,,0265469743,,SERVICE,A,,,,
ARESHATU FOOD COMPLEX,OPPOSITE ABOABO BOUCHERS HOUSE,DABOYA ROAD,ABOABO,ABOABO,,0200545826,,SERVICE,A,,,,
ARGADU ENTERPRISE,OPPOSITE COMMERCIAL BANK,DABOYA ROAD,ABOABU,SABONJIDA,,0245367773,,SERVICE,A,,,,
ARIJATU ENTERPRISE,IN LANE WITH DO GOOD HOSUE,HAUSA ZONGO ROAD,DAKPEMA,NAYILI FONG,,0208343797,,SERVICE,A,,,,
ARIMIYAW ENTERPRISE,OPPOSITE VETERANS VILLAGE,GUKPEGU ROAD,SABON-GIDA,TAMALE,,0244573561,,SERVICE,A,,,,
ARIMIYAWU SHOP,ALONG NYOHINI DAM ROAD,NYOHINI DAM ROAD,NYOHINI SOUTH,NYOHINI,,0243701546,,SERVICE,A,,,,
ARISE AND SHINE ENTERPRISE,AFTER SAKASAKA PRESBY PRIMARY SCHOOL,SAVELUGU ROAD,SAKASAKA,MOSHIE ZONGO,,0244154972,,SERVICE,A,,,,
ARISHE BANANA SHOP,NOKOHAGU LANE SHOP NUMBER E360,,,SABON GIDA,,0543385007,,SERVICE,A,,,,
ARISHEY ENTERPRISE,ISLAMIC PRIMARYSCHOOL JUNCTION,,DOHINI,DOHINI,,0246660045,,SERVICE,A,,,,
ARIWATU ENTERPRISE,FOOSHEGU JUNCTION,BUPEI ROAD,DATOYILI,DATAYILI,,0209135286,,SERVICE,A,,,,
ARIYA ENTERPRISE,BEHIND THE KALADAN SPORTS ATADIUM,ALONG THE PICORNA HOTEL ROAD,SABON-GIDA,TAMALE-SABON-GIDA,,0200300086,,SERVICE,A,,,,
ARIYAT PHONES  AND ACCESSORIES,"BAYANWAYA ROAD, FEW METERS FROM THE CENTRTALZARIA SCHOOL",BAYANWAYA ROAD,"BAYANWAYA, NYANI FONG",NYANI FONG,,0545463445,,SERVICE,A,,,,
ARK BEAUTY SALON,"MOSHI SAMALE HOUSE, INFRONT OF TAILOR HOUSE",,MOSHIE ZONGO,MOSHIE ZONGO,,0249829088,,SERVICE,A,,,,
ARMAJARO COTTON GHANA LIMITED,H/NO D 8 DUNGU-SAWABA,,TAMALE MAIN,TAMALE,"P M B, TAMALE MAIN",,,INDUSTRY,B,,,,
ARMIYAWU FASHION,AT HOUSE NUMBER.G.9,IK PHOTOS ROAD,SABON GIDA,SABON GIDA,,0207579898,,INDUSTRY,A,,,,
ART BARI ENTERPRISE,ALONG BUTCHER HOUSE LANE STORE NO.11&12,KUMBUNGU ROAD,CENTRAL MARKET,ABOABO,"P. O. BOX 983, TAMALE CENTRAL",0208386995,,SERVICE,A,,,,
AS AMIN STORE,AFTER THE SAKASAKA PRESBY PRIMARY SCHOOL,SAVELUGU ROAD,SAKASAKA,MOSHIE ZONGO,,0244542292,,SERVICE,A,,,,
AS KOJO MEMORIAL DAY CARE AND PRIMARY,CENTRAL  ZARIA SCHOOL  ROAD,,HAUSA ZONGO  NYANI  FONG,NYANI FONG,,0209104590,,SERVICE,A,,,,
AS-SALAAAM MATERNITY,,YAPEI ROAD,SABONGIDA,SABONGIDA,"P. O. BOX 1105, TISHIGU",0244296018,,SERVICE,A,,,,
ASA ALHALL POMADE AND SOAP SHOP,BEHIND THE OLD SPORTS STADIUM,ROAD LEADING TO PICORNA HOTEL,SABON-GIDA,TAMALE-SABON-GIDA,,0203372255,,SERVICE,A,,,,
ASADIA FOOD COMPLEX,"INFRONT OF HOUSE NO.220, OPPOSITEHSE. NO.F.57",ON ZANGO ROAD FROM DAKPEMA PALACE,DAGBABDABA FONG,GUKPEGU,,0247424829,,SERVICE,A,,,,
ASALADAHAYINA ENTERPRISE,INSIDE CULTURAL CENTRE,JUBILEE PARK LANE,CULTURAL CENTRE,TISHIGU,"P. O. BOX TL1737, TISHIGU",0208561913,,SERVICE,A,,,,
ASAMAW TEA BAR,AT STC MAIN GATE,LAMASHEGU ROAD,NYOHINI,NYOHINI,,0206440541,,SERVICE,A,,,,
ASAMOAH CONST.& ELECTRICAL WORKS,"1ST ROAD,KALPOHIN ESTATE NO E42,TAMALE",,TAMALE,TAMALE,"P O BOXZ 46, TAMALE",,,INDUSTRY,A,,,,
ASAMPANAA GRINDING MILL,INFRONT OF MAHAMURUVILI,,BIHINAA FONG,KPANVO,,0275223301,,INDUSTRY,A,,,,
ASANA ADAM STORE,INSIDE THE MARKET C231,KUMBUNGU ROAD,CENTRAL MARKET,ABOABO,,,,SERVICE,A,,,,
ASANA ALHASSAN STORE,BEHIND HFC BANK,DABOYA ROAD,ABOABO CENTRAL MARKET,ABOABOA,,0268818454,,SERVICE,A,,,,
ASANA CASSETTE SHOP,OPPOSITE BURAHNLYAT ENGLISH ARABIC SCHOOL,LAMASHEGU CENTRAL MOSQUE ROAD,LAMASHEGU,LAMASHEGU,,0262523161,,SERVICE,A,,,,
ASANA CORNER,BY THE MAIN ROAD,2ND RING ROAD,DUAHNAA FONG,KAKPAHI YILI,,,,SERVICE,A,,,,
ASANA ENTERPRISE,DIRECT OPPOSITE METHODIST JUNIOR HIGH SCHOOL,METHODIST JHS ROAD,TUTIGLI,TAMALE,,0206665656,,SERVICE,A,,,,
ASANA ENTERPRISE,ZAMBALIMA YILI F86 NYANI FONG,SECOND LANE,NYANI FONG,TAMALE NYANI FONG,,0249324118,,SERVICE,A,,,,
ASANA ENTERPRISE,BESIDE ALHAJI APOLO'S HOUSE,LAMASHEGU ROAD,LAMAKARA,LAMASHEGU,,0540203801,,SERVICE,A,,,,
ASANA FASHION CENTER,OPPOSITE ASPET-A,KABSAD ROAD,NIM AVENUE,TAMALE,,0245245021,,INDUSTRY,A,,,,
ASANA FASHION SHOP,DIRECTLY OPPOSITE ALHAJI SOFO'S MOSQUE,YENDI ROAD,,TUGU,,0273471481,,INDUSTRY,A,,,,
ASANA FUSIENI,SACK MARKET,OFF ABOABU ROAD,ABOABU,SABONJIDA,,0203130325,,SERVICE,A,,,,
ASANA KAREEMU ENTERPRISE,INSIDE MARKET C673,SAVELUGU ROAD,CENTRAL MARKET,ABOABO,,0209104541,,SERVICE,A,,,,
ASANA KINDOM  PHONE,ALHAJI ABU YILI I.36,KUMBUNGU ROAD,ABOABO,TAMALE,,0262025300,,SERVICE,A,,,,
ASANA LATEX FOAM ENTERPRISE,ALONG THE TAMALE ABBATOIR ROAD,TAMALE-DABOYA ROAD,KUNYEVILA,KUNYEVILA,,0244074196,,SERVICE,A,,,,
ASANA MUMUNI,OUTSIDE HOUSE NO. A56,MOSHIE LINK,MOSHIE ZONGO,MOSHIE ZONGO,,0272179103,,SERVICE,A,,,,
ASANA PROVISION SHOP,OPPOSITE PICORNA HOTEL,ABOABU ROAD,ABOABU,SABONJIDA,,0540464790,,SERVICE,A,,,,
ASANA PROVISION STORE,BEHIND THE C.O.P. PUBLIC TOILET,AROUND NAFISA BAR ROAD,SABON GIDA,TAMALE,,0206759224,,SERVICE,A,,,,
ASANA PROVISION STORE,ON THE SAME LINE WITH SUNDAY CHEMICAL STORE,KAKPA YILI ROAD,NAKPANZUO,NAKPANZUO,,0207365605,,SERVICE,A,,,,
ASANA SHOP,FISH MARKET,OFF DABOYA ROAD,ABOABO MARKET,SABON-GIDA,,0249517258,,SERVICE,A,,,,
ASANA SHOP,OPPOSITE BETHANY CHURCH INTERNATIONAL,LANDS COMMISSION TO URBAN ROADS ROAD,CHANGNI,TAMALE,,,,INDUSTRY,A,,,,
