ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,PHONE,EMAIL,SECTOR,SIZE,
DON TEDDY BARBERING SALON,ALHAJI SEIDU BAGOBIRE STORES,HOSPITAL ROAD,NOGSENIA,NAVRONGO,,0245373738,,SERVICE,A,
DON'T RASH IN LIFE BEER BAR,OPPOSITE ANABILA FOOD SERVICES AT MAIN STATION,GAANE STATION,GAANE STATION,UPPER GAANE,,,,SERVICE,A,
DORA CHIC,KORINGO-KANDANGO NEAR WELIKAKE JUNCTION,NAVRONGO-BOLGA ROAD,KORINGO,DOBA KORINGO,"P. O. BOX 8, NAVRONGO",0207448940,,SERVICE,A,
DORA WEAVING SHOP,BEHIND AKORIKES HOUSE,ABEMPENGU ROAD,ABEMPENGU,ABEMPENGU,,,,INDUSTRY,A,
DORA'S PROVISION SHOP,OPPOSITE BASINA PRIMARY SCHOOL,HOSPITAL ROAD,NOGSENIA,NAVRONGO,"P. O. BOX 157, NAVRONGO",0207245061,,SERVICE,A,
DORCAS BEAUTY,OPPOSITE TOTAL FILLING STATION,NAVRONGO BOLGA ROAD,BALOBIA,NAVRONGO,,0264464551,,SERVICE,A,
DORCAS ENTERPRISE,INSIDE OLD SANDEMA STATION,NAVRONGO SANDEMA ROAD,NAVRONGO,NAVRONGO,,,,SERVICE,A,
DORIS ADDAH PROVISION STORE,OPPOSITENAVASCO GATE,NAVASCO GATE,NAVASCO GATE,VUNANIA,,0244422399,,SERVICE,A,
DORIS BEAUTY SALON,OPPOSITE ICOUR LOWCOST,NAVRONGO-PAGA ROAD,NAMOLO,NAVRONGO,,0543822873,,SERVICE,A,
DORIS BOUTIQUE,OPPOSITE ICOUR LOWCOST,NAVRONGO-PAGA ROAD,NAMOLO,NAVRONGO,,0505747917,,SERVICE,A,
DORIS ENT.,OPPOSITE LATEX FOAM MINI DEPOT,COMMERCIAL STREET,NOGESENIA,NAVRONGO,,0242065115,,SERVICE,A,
DORIS ENTERPRISE,100 METERS AFTER DOBA DAM,BOLGA NAVRONGO ROAD,DOBA GAYUNGE,DOBA GAYINGO,,0543826811,,INDUSTRY,A,
DORIS FASHION SHOP,INFRONT MR. ATTA MECHANIC WORKSHOP,NAVRONGO SANDEMA ROAD,NAVRONGO TOWN,NAVRONGO,,0549777929,,INDUSTRY,A,
DOROTHY DRESS MAKING SHOP,BETWEEN ERICA PROVISION STORE AND ROYAL HOSTEL,NAVASCO GATE,GOGENIA,VUNANIA,,0547911562,,SERVICE,A,
DOWN BASE,NEAR DOBA FILLING STATION,NAVRONGO -BOLGA ROAD,AGAYABISI,DOBA AGAYABISI,,0548430080,,SERVICE,A,
DR. KAYA HERBAL CENTER,ADJACENT STANDARD PREPARATORY SCHOOL,NAVRONGO PAGA ROAD,NAMOLGO,NAVRONGO,"C/O P. O. BOX 391, OBUASI",0507360786,,SERVICE,A,
DUNGASE ALIRA VENTURES,OPPOSITE ROBERT WELDING SHOP IN MANYORO MARKET,SIRIGU TAZIGA ROAD,MANYORO,MANYORO,,0243848294,,SERVICE,A,
DYNAMIC BASE,OPPOSITE HOUSE NO CAP 57,SANDEMA ROAD,NOGESENIA,NAVRONGO,,0248994223,,SERVICE,A,
EAGLES CHOICE COMPANY LTD.,100 METERS FROM PALACE CENEMA,PALACE STREET,NOGESENIA,NAVRONGO,"P. O. BOX 183, NAVRONGO",0207553359,,SERVICE,A,
EASY LIFE ENTERPRISE,ADJACENT JOYCE ENTERPRISE,NAVRONGO BOLGA ROAD,NOGESENIA,NAVRONGO,,0508018025,,SERVICE,A,
EBENEZERS AND SON'S LTD.,OPPOSITE STRIKER SPOT,NAVRONGO PUNGU MANYORO ROAD,PUNGU CENTRAL,PUNGU - CENTRAL,,0509866225,,SERVICE,A,
EDDIE'S PUB,OPPOSITE HENAKUS ANNEX,NAVRONGO -PAGA ROAD,SABORO,NAVRONGO,"P. O. BOX 31, NAVRONGO",,,SERVICE,A,
EDWARD SAW MILL SHOP,OPPOSITE TRUST IN GOD ENTERPRISE,NAVRONGO SANDEMA ROAD,NOGESENIA,NAVRONGO,,0247805962,,INDUSTRY,A,
EFENBERG BARBERING SALON,OPPOSITE MTN OFFICE,UDS ROAD,NOGESENIA,NAVRONGO,,0242980679,,SERVICE,A,
EG DON MOTORS,BESIDE TEACHER ENTERPRISE,PALACE STREET,NOGESENIA,NAVRONGO,,,,SERVICE,A,
EGLO STORE,INSIDE AWINGABISI MARKET,KOLOGO NAVRONGO ROAD,AWINGABISI,KULENINGO AWINGABISI,"P. O. BOX 56, NAVRONGO",0248119025,,INDUSTRY,A,
EIKON ALLAH,DIRECTLY OPPOSITE KOLOGO HEALTH CENTER,NAYIRE NAAGA NAVRONGO ROAD,NAYIRE,KOLOGO NAYIRE,,0245089129,,SERVICE,A,
ELECTORAL COMMISSION OF GHANA,BEHIND FIRE SERVICE,UDS ROAD,NOGESENIA,NAVRONGO,"P. O. BOX 182, BOLGA",,,SERVICE,A,
ELIHADEI ENTERPRISE,OPPOSITE ALHAJI BOGOBIRE HOUSE,NAVRONGO SANDEMA ROAD,NAVRONGO TOWN,NAVRONGO,,0541621251,,SERVICE,A,
ELISHA PREPARATORY SCHOOL,OPPOSITE WINNER'S CHAPEL,VRA SUBSTATION JUNCTION TO WAR HOSPITAL,NANGALKINIA,NAVRONGO,"P. O. BOX 62, NAVRONGO",,,SERVICE,A,
ELIZABETH APANA'S PITO SHOP,BEHIND RESEARCH CENTER,PERE LODGE SANDEMA ROAD,NOGESENIA,NAVRONGO,,0248993472,,INDUSTRY,A,
ELIZABETH FASHION SHOP,ADJACENT GHANA COMMERICAL BANK,UDS ROAD,NOGESENIA,NAVRONGO,,0246513127,,INDUSTRY,A,
ELIZABETH KOGOJAGE KENTE WEAVING,OPPOSITE THE PLATING FIELD PUNGU JUNCTION,NAVRONGO PUNGU ROAD,PUNGU CENTRAL,PUNGU - CENTRAL,,,,INDUSTRY,A,
ELIZABETH PROVISION STORE,AT THE CENTER OF NATUGNIA MARKET,NATUGNIA MARKET,AKUMBISI,NATUGNIA AKUMBISI,,0201997001,,SERVICE,A,
ELIZABETH STORE,AMOWINE HOUSE,AROUND CHIEFS PALACE,KURISI,KORANIA,,0245505814,,SERVICE,A,
ELIZABETH STORE,ZUO STATION,NAYIRE MAIN ROAD,ZUO,KOLOGO ZUO,,0248333227,,SERVICE,A,
ELIZABETH'S PROVISION SHOP,OPPOSITE LATEX FOAM MINI DEPOT,NAVRONGO GAANI ROAD,NOGESENIA,NAVRONGO,,,,SERVICE,A,
EMMA BARBERING SALON,OPPOSITE VODAFONE MAIN ENTRANCE,NAVRONGO CHIEFS PALACE ROAD,NAVRONGO TOWN,NAVRONGO,,0245626229,,SERVICE,A,
EMMANUEL ENT.,ADJACENT GOD'S TIME IS THE BEST CHOP BAR,CHIEFS PALACE NAVRONGO ROAD,NAVRONGO MARKET,NAVRONGO,,0242052286,,SERVICE,A,
ENAASE DRINKING SPOT,FEW METERS TO FASTLINK,NAVRONGO SANDEMA ROAD,NOGSENIA,NAVRONGO,,0244470448,,SERVICE,A,
ENGLISH ARABIC PRIMARY SCHOOL,INFRONT OF KANTOSE CHIEF'S HOUSE NO. CBA 04,WATER AND SEWAGE - WURA ROAD,NOGSENIA,NAVRONGO,"P. O. BOX 56, NAVRONGO",,,SERVICE,A,
ENOCH NKORNU'S CARPENTRY SHOP,ABOUT 50 METERS FROM MUNICIPAL ASSEMBLY ALONG PAGA ROAD,NAVRONGO PAGA ROAD,NAMOLO,NAVRONGO,,0207790098,,INDUSTRY,A,
ERICA PROVISION STORE,ADJACENT TOGETHER VIEW,NAVASCO GATE,GOGENIA,VUNANIA,,0249807537,,SERVICE,A,
ERNEST BASE,OPPOSITE ELECTRICITY TRANSFORMER INFRONT OF ADOLI BAR,ATINIGU,PRIMARY SCHOOL VUNANIA,VUNANIA,,0242845161,,SERVICE,A,
ERNESTO'S ADVANCE HAIR CUT,OPPOSITE VODAFONE MAST,UDS NAVASCO ROAD,ICOUR JUNCTION,GONGENIA,,0245363095,,SERVICE,A,
ESTHER BALOBA FASHION,ADJACENT DAALA VIEW,NAVRONGO BOLGA ROAD,BALOBIA,NAVRONGO,"P. O. BOX 46, NAVRONGO",0203056970,,INDUSTRY,A,
ESTHER FASHION,OPPOSITE MAMA GEE BOUTIQUE,UDS ROAD,NOGESENIA,NAVRONGO,,,,INDUSTRY,A,
ESTHER FASHION SHOP,ADJACENT ASSEMBLIES OF GOD CHURCH,UDS ROAD,NOGESENIA,NAVRONGO,,0546550736,,INDUSTRY,A,
ESTHER FASHION SHOP,ADJACENT PATRICIA FASHION CENTER,CHIEFS PALACE NAVRONGO ROAD,NAVRONGO MARKET,NAVRONGO,,,,INDUSTRY,A,
ESTHER GRINDING MILLS,BEHIND BENCYN HOUSE,NAVASCO GATE,GOGENIA,VUNANIA,,0246546082,,INDUSTRY,A,
ESTHER HAIRDRESSING SALON,BEHIND KANSIGE'S HOUSE NO CAP 58,NAVRONGO SANDEMA,NOGESENIA,NAVRONGO,,0543021441,,SERVICE,A,
ESTHER KANBOE PROVISION SHOP,OPPOSITE JOJILL SUPER MARKET,NAVRONGO SANDEMA ROAD,NANGALIKINIA,NAVRONGO,,0208941386,,SERVICE,A,
ESTHER KIOSK,OPPOSITE SSNIT JUNCTION ADJACENT JULIANA CONTAINER,NAVRONGO MARKET NAVASCO ROAD,ACHAMPONG JUNCTION,GONGENIA,,0208414759,,SERVICE,A,
ESTHER PROVISION SHOP,ABOUT 50 METERS FROM CENTRAL PRISIONS TOWARD SANDEMA,NAVRONGO SANDEMA ROAD,NOGSENIA,NAVRONGO,,0546966348,,SERVICE,A,
ESTHER'S PROVISION SHOP,OPPOSITE PERSERVARANCE,COMMERCIAL ROAD,NOGESENIA,NAVRONGO,,0246787758,,SERVICE,A,
EUNICE'S PROVISION AND ELECTRICAL SHOP,BEHIND PRESBYTARIAN CHURCH,NAVRONGO BOLGA ROAD,NAMOLO,NAVRONGO,"C/O P. O. BOX 43, NAVRONGO",0203164590,,SERVICE,A,
EVA KUBAZAM'S ENT.,BESIDE AYISALA'S HOUSE,NAVRONGO GAANI ROAD,NANGLIKINIA,NAVRONGO,,0245533289,,SERVICE,A,
EVA'S BEAUTY SALON,ADJACENT AKARA ENTERPRISE,NAVRONGO CHIEFS PALACE ROAD,NAVRONGO TOWN,NAVRONGO,,0247207944,,SERVICE,A,
EVANGEL PRAYER NETWORK,BEHIND POST OFFICE,SANDEMA ROAD,NOGESENIA,NAVRONGO,"P. O. BOX NV 222, NAVRONGO",0200957914,anekwaradam@gmail.com,SERVICE,A,
EVANS ENT.,OPPOSITE GHANA WATER COMPANY,BOLGA NAVRONGO ROAD,DOBA GAYUNGE,DOBA GAYINGO,,0546714810,,SERVICE,A,
EVELYN KVYIBA SHOP,OPPOSITE TRUST IN GOD,COMMERCIAL STREET,NOGESENIA,NAVRONGO,,0244403570,,SERVICE,A,
EVERYTHING IS BY GOD ENTERPRISE,ADJACENT GHANA COMMERICAL BANK,UDS ROAD,NOGESENIA,NAVRONGO,,0203215230,,SERVICE,A,
EXECUTIVE FREINDS HAIR CUT,OPPOSITE HOUSE NO.CAD 08,COMMERCIAL ROAD,NOGESENIA,NAVRONGO,,0202140200,,SERVICE,A,
EXPRESS PHOTO AND BOUTIQUE,ADJACENT COMMERCIAL BANK,COMMERCIAL STREET,NOGESENIA,NAVRONGO,,0208375214,,SERVICE,A,
FABIAN FASHION SHOP,ADJACENT GHANA COMMERCIAL BANK,HOSPITAL ROAD,NOGSENIA,NAVRONGO,,0244421808,,INDUSTRY,A,
FABIOLA'S FASHION,INFRONT OF WAR MEMORIAL HOSPITAL,GAANI ROAD,NOGESENIA,NAVRONGO,,0200604802,,INDUSTRY,A,
FADIKAFUTA MOSQUE,ADJACENT BAMPE HOUSE NO. CAP 59,NAVRONGO BOLGA ROAD,NOGSENIA,NAVRONGO,,0544108909,,SERVICE,A,
FAITH PHOTOS AND BUSINESS CENTER,BESIDE S.A SAAMO VENTURES,GAANI ROAD,NOGESENIA,NAVRONGO,,0242957248,,SERVICE,A,
FAST LINK ACADEMY,200 METERS FROM AGRIC OFFICE,FEEDER ROAD TO NAMOLO ESTATES,NAMOLO EAST,NAVRONGO,"P. O. BOX 74, NAVRONGO",0249242924,fastlinkmircof@gmail.com,SERVICE,A,
FAST LINK ACADEMY,,,NAVRONGO,NAVRONGO,"P. O. BOX 74, NAVRONGO",,,SERVICE,A,
FAST LINK SERVICE,NAVRONGO MAIN ROUNDABOUT,HOSPITAL ROAD,NOGESENIA,NAVRONGO,"P. O. BOX 74, NAVRONGO",0200321666,,SERVICE,A,
FAST TRACK ENT.,OPPOSITE HOUSE NO CAP 36,SANDEMA ROAD,NOGESENIA,NAVRONGO,,0504122711,,SERVICE,A,
FASTLINK INTERNET CAFE,ADJACENT GUMAH VENTURES,PRISON ROAD,NOGSENIA,NAVRONGO,"P. O. BOX 74, NAVRONGO",0244508573,,SERVICE,A,
FATI ABDUL SALAM FURNITURE CENTER,ADJACENT CARPEX ENTERPRISE,CHIEFS PALACE NAVRONGO ROAD,NAVRONGO MARKET,NAVRONGO,,0243289313,,SERVICE,A,
FATIMA BREAD BAKING SHOP,OPPOSITE FRED DONGO ENTERPRISE,NAVRONGO SANDEMA ROAD,NOGSENIA,NAVRONGO,,0508486658,,INDUSTRY,A,
FATIMA'S FOOD JOINT,BEHIND POST OFFICE,CHIEFS PALACE ROAD,NOGESENIA,NAVRONGO,,0203840478,,SERVICE,A,
FAUSTINA DRINKING SPOT,OPPOSITE K. NANANOM CONSTRUCTION,SISALA LINE,NOGESENIA,NAVRONGO,,,,SERVICE,A,
FAUSTINA KIOSK,BEHIND HOUSE NO.SAH 25 ALONG GAANE ROAD FEW METERS STATION,GAANE STATION,GAANE STATION,UPPER GAANE,,,,SERVICE,A,
FAUSTINA PROVISION SHOP,ADJACENT POINT SEVEN DRINKING SPOT,NAVRONGO BOLGA ROAD,NOGESENIA,NAVRONGO,,,,SERVICE,A,
FAUSTINA SALON,ADJACENT SUFFER TO GAIN WELDING SHOP,NAVRONGO PUNGU ROAD,BALOBIA,NAVRONGO,,0245282555,,SERVICE,A,
FEHNA ENTERPRISE,BEHIND GHANA FIRE SERVICE,UDS ROAD,NOGESENIA,NAVRONGO,"P. O. BOX NV 69, NAVRONGO",0242816481,,SERVICE,A,
FELICIA FASHION,ADJACENT JUBILEE SPOT,NAVRONGO BOLGA ROAD,NAMOLO,NAVRONGO,,0249390410,,INDUSTRY,A,
FELICIA LUGUZURI SHOP,OPPOSITE BLACK TELECOM SHOP,UDS ROAD,NOGESENIA,NAVRONGO,"P. O. BOX 56, NAVRONGO",0208236982,,SERVICE,A,
FELICIA PROVISION SHOP,OPPOSITE POLICE BARRACKS,MUNICIPAL ASSEMBLY STREET,NAMOLO,NAVRONGO,,0245327424,,SERVICE,A,
FELICITY SANTOA'S FOOD JOINT,BESIDE MTN OFFICE,COMMERCIAL BANK STREET,NOGESENIA,NAVRONGO,,0244816306,,SERVICE,A,
FELLADAM GRINDING MILL,OPPOSITE NASARE SONES HOUSE,NAVRONGO SANDEMA ROAD,BONIA,BONIA,,0542212378,,INDUSTRY,A,
FEMEN ENT.,BESIDE MAA DE ENTERPRISE,PALACE STREET,NOGESENIA,NAVRONGO,,0249497700,,SERVICE,A,
FIMEN ENTERPRISE,NEAR NAVRONGO SANDEMA ROUND ABOUT,NAVRONGO SANDEMA ROAD,NAVRONGO,NAVRONGO,,0203867487,,SERVICE,A,
FIRST AND LAST BAR,INFRONT PENTECOST CHURCH IN SENSA,BIU TAMPOLA MARKET ROAD,SENSA,BIU,,0506106078,,SERVICE,A,
FIRST AND LAST DRINKING SPOT,BESIDE NAVID VENTURES,NAVRONGO BOLGA ROAD,LOWER KUNWANIA,NAYAGENIA KUNWANIA,"P. O. BOX 146, NAVRONGO",,first.lastnavrongo@gmail.com,SERVICE,A,
FIRST NATIONAL SAVINGS AND LOANS COMPANY LIMITED,OPPOSITE DISTRICT GNAT SECRETARIAT,NAVRONGO BOLGA ROAD,NOGESENIA,NAVRONGO,"P. O. BOX 776, BOLGA",0501328673,info@firstnationalghana.com,SERVICE,A,
FLAMINGO SPOT,BESIDE BUTCHER HOUSE,COMMERCIAL ROAD,NOGESENIA,NAVRONGO,,0242751039,,SERVICE,A,
FLASH PHOTOS,BESIDE ROLAM RESTAURANT,SANDEMA ROAD,NOGESENIA,NAVRONGO,,0208077861,,SERVICE,A,
FLOMAT ENT.,ADJACENT NAOMI'S SPOT DIRECRLY OPPOSITE UDS PARK,NAVASCO TOWN UDS ROAD,UDS,GONGENIA,,0249397385,,SERVICE,A,
FLORENCE PROVISION STORE AND BAR,OPPOSITEHOUSE NO WED 98,GIA KOSONGO ROAD,KOSONGO,GIA KWOSONGO,,,,SERVICE,A,
FOKIMJIM,INSIDE MANYORO MARKET CLOSE TO JULIUS ABANGA SPOT,MANYORO TAZIGA ROAD,MANYORO,MANYORO,,0244604014,,SERVICE,A,
FOLI-BASIAN ENTERPRISE,10 METERS FROM MATHIA'S SHOP MANYORO,MANYORO WANJAGNIA ROAD,SAKUNIA,MANYORO,,0242945636,,SERVICE,A,
FONKY BOOKS AND STATIONARY,OPPOSITE RURAL TECNOLOGY FACILITY,SANDEMA ROAD,NOGSENIA,NAVRONGO,"C/O P. O. BOX 176, NAVRONGO",0208296080,,SERVICE,A,
FORESTRY SERVICE DIVISION,ADJACENT YOUTH ALIVE,FEEDER ROAD TO DCE RESIDENCE,SABORO,NAVRONGO,"P. O. BOX 16, NAVRONGO",0243373059,kawuah40@yahoo.com,AGRICULTURE,A,
FOSTER BOLAE SPOT,ADJACENT GREAT PROVIDER PHOTOS,UDS ROAD,NOGESENIA,NAVRONGO,,0243914881,,SERVICE,A,
FRANCIS AKOLGO GRINDING,OPPOSITE THE SHRINE,NAVRONGO KORANIA ROAD,APUNGUM,KORANIA,,0243955563,,INDUSTRY,A,
FRANCIS ENT.,ADJACENT ALEXANDER PROVISION SHOP,KANDIGA JUNCTION ROAD,AKUNKONGO,AKUNKONGO,,0246655737,,SERVICE,A,
FRANCIS GRINDING MILL,INFRONT YAA HOUSE FEW METERS AWAY PEOPLE CHOICE BAR,BIU TAMPOLA ROAD,KODEMA,BIU,,0248991861,,INDUSTRY,A,
FRANCIS REPAIRS CENTER,OPPOSITE TRUST IN GOD/ KAPA ENTERPRISE,NAVRONGO SANDEMA ROAD,NOGESENIA,NAVRONGO,,0502328095,,SERVICE,A,
FRANCISCA FASHION CENTER,OPPOSITE MILLI FASHION,NAVRONGO SANDEMA ROAD,NAVRONGO MARKET,NAVRONGO,,0242608482,,INDUSTRY,A,
FRANKLIN ARTS,BEHIND DEPARTMENT OF SOCIAL WELFARE,COS PARK TO STANDARD PREPARATORY,NAMOLO,NAVRONGO,,0242779229,,INDUSTRY,A,
FREDA'S STORE,ZUO STATION MARKET,NAYIRE MAIN ROAD,ZUO,KOLOGO ZUO,,0544419299,,SERVICE,A,
FREDOM LINK BUSINESS CENTER,INFRONT OF OGAGYEFO),UDS NAVRONGO ROAD,UDS,GONGENIA,,0207677694,,SERVICE,A,
FREDONGO ENTERPRISE,NAVRONGO SANDEMA ROAD,NAVRONGO SANDEMA ROAD,NAVRONGO TOWN,NAVRONGO,,0209458478,,SERVICE,A,
FREE BOYS WELDING ANF VOLGANISING SHOP,OPPOSITE ROYAL HOSTEL,NAVASCO GATE,GOGENIA,JANANIA,,0244624586,,SERVICE,A,
FREE BROTHER MECHANIC SHOP,OPPOSITEUNDERSTANDING SPOT,HOSPITAL ROAD,NOGSENIA,NAVRONGO,,0546965376,,SERVICE,A,
FREE PORT PROVISION AND DRINKING SPOT,OPPOSITE ICOUR LOW COST,NAVRONGO-PAGA ROAD,NAMOLO,NAVRONGO,,0541257163,,SERVICE,A,
FREEDOM SPOT,OPPOSITE KWABENA'S HOUSE,TONO ROAD,YOGBANIA,YOGEBENEA (YOGBANIA),,0542310938,,SERVICE,A,
FRIDAY'S SPOT,ABOUT 60 METERS FROM CENTRAL PRISON TOWARD PAGA,PAGA NAVRONGO ROAD,NAMOLO,NAVRONGO,,0242932744,,SERVICE,A,
FRIMPS OIL,OPPOSITE CUSTOM BARRIER ALONG BOLGA NAVRONGO ROAD,BOLGA NAVRONGO ROAD,DOBA GORO,DOBA GORO,,0574510949,,SERVICE,A,
FUASTINA PROVISION STORE,10 METERS FROM NAVRONGO - PAGA LEFT OF ICOUR QUAT.,NAVRONGO-PAGA ROAD,SABORO,NAVRONGO,,0201996774,,SERVICE,A,
FUSEINI'S HOSTEL,ADJACENT THE COMMUNITY HEALTH NURSES SCHOOL,WURU TONO ROAD,,WURU,,0205174787,,SERVICE,A,
GAANI JUNIOR HIGH SCHOOL,BEHIND GAANE PRIMARY SCHOOL,GAANE KOLOGO ROAD,ADALIGA,UPPER GAANE,"P. O. BOX 56, NAVRONGO",0507361785,,SERVICE,A,
GAANI PRIMARY SCHOOL,OPPOSITE ALL SOULS CHAPEL,GAANE KOLOGO ROAD,AZIAYIRE,UPPER GAANE,"P. O. BOX 56, NAVRONGO",0508163090,,SERVICE,A,
GAKOKA COMPANY LIMITED,ABOUT 50 METERS FROM ICOUR QUATERS TOWARDS NAVRONGO,NAVRONGO PAGA ROAD,NAMOLO,NAVRONGO,"P. O. BOX 98, NAVRONGO",0244983545,,SERVICE,A,
GANAJE ADDA PITO BAR,OPPOSITE GOIL FILLING STATION,MANGO BASE,BALOBIA,NAVRONGO,,0245473938,,INDUSTRY,A,
GARDEN CITY SPOT,GARDEN CITY SPOT BEHIND SSNIT HOSTEL,SSNIT HOSTEL KORANIA ROAD,GONGENIA,GONGENIA,,0246862660,,SERVICE,A,
GARDEN OF LOVE BOUTIQUE,OPPOSITE CATHOLIC CHURCH,MISSION JUNCTION HOSPITAL ROAD,NOGESENIA,NAVRONGO,,0547069149,,INDUSTRY,A,
GARDEN OF LOVE DRINKING SPOT,OPPOSITE CATHLOIC CHURCH,MISSION JUNCTION HOSPITAL ROAD,NOGESENIA,NAVRONGO,,0547069149,,SERVICE,A,
GAVIC ENT.,ADJACENT MEET ME THERE SPOT,PUNYORO TELANIA ROAD,PUNYORO,PUNYORO,,0202821657,wallahgabriel@gmail.com,SERVICE,A,
GEOGE'S SMOCK SHOP,OPPOSITE TIMOTHY TALAWA ENTERPRISE NEAR NAVRO PIO PALACE,CHIEFS PALACE ROAD,NOGESENIA,NAVRONGO,,0246384618,,INDUSTRY,A,
GEOGINA CHIRYIRE TAILORING SHOP,ABOUT 100 METERS FROM MAYAGA JUNCTION TOWARDS SANDEMA,NAVRONGO SANDEMA ROAD,NANGALIKINIA,NAVRONGO,,0241288835,,INDUSTRY,A,
GEOGINA FOOD AND PROVISIONS SERVICES,INFRONT OF HOUSE NO.SAF 76 ALONG VUNANIA GAANE ROAD,GAANE MARKET,NEW TOWN,UPPER GAANE,,0502393283,,SERVICE,A,
GEOGINA FOOD'S,INFRONT OF HOUSE NO CAJ49,PAGA NAVRONGO ROAD,NAMOLO,NAVRONGO,,,,SERVICE,A,
GEOGINA'S PRINTING AND PHOTOCOPY LAB,THE BOLEHOLE AT KANDIGA JUNCTION,NAVRONGO-BOLGA ROAD,ABEMPENGU,ABEMPENGU,,0541591039,,SERVICE,A,
GEOGINA'S SHOP,OPPOSITE PERSERVANCE INN,COMMERCIAL ROAD,NOGESENIA,NAVRONGO,,,,SERVICE,A,
GEOLINON CONSTRUCTION WORKS,ADJACENT CHIANA POLICE STATION,,NAVRONGO,NAVRONGO,"P. O. BOX 45, NAVRONGO",,,INDUSTRY,A,
GEORGE TANGLAM BARBERING SHOP,ADJACENT NO WEAPON PROVISION SHOP,NAVRONGO BOLGA ROAD,NOGESENIA,NAVRONGO,,,,SERVICE,A,
GEORGE WAK HOSTEL,BEHIND BENCYN HOUSE,NAVASCO GATE,GOGENIA,VUNANIA,,0244733558,,SERVICE,A,
GEORGINA DRINKING SPOT,BEHIND HOUSE NO CAP 01,NAVRONGO SANDEMA ROAD,NOGSENIA,NAVRONGO,,,,SERVICE,A,
GEORGINA ENTERPRISE,OPPOSITE ADUAH'S HOUSE,PUNYORO ROAD,YITONIA,YITONIA,,0200333972,,SERVICE,A,
GERMISH SUPER MARKET,FATHER ABASI FAMILY HOUSE,NAVRONGO- PAGA ROAD,SABORO,NAVRONGO,,0206098550,,SERVICE,A,
GET A SENSATIONAL BARBERING SALON,ADJACENT CONFIDENCE HAIR SALON,NAVRONGO BOLGA ROAD,NAMOLO,NAVRONGO,,0200923099,,SERVICE,A,
GHANA AUDIT SERVICE,BEHIND FIRE SERVICE,UDS ROAD,NOGESENIA,NAVRONGO,"P. O. BOX 194, NAVRONGO",0244803953,,SERVICE,A,
GHANA COMMERCIAL BANK LIMITED,OPPOSITE KUFIBA ENTERPRISE,UDS ROAD,NOGSENIA,NAVRONGO,,0208406682,navrongomanager@gcb.gh,SERVICE,A,
GHANA EDUCATION SERVICE,BEHIND FIRE SERVICE,HOSPITAL ROAD,NOGESENIA,NAVRONGO,"P. O. BOX 56, NAVRONGO",,,SERVICE,B,
GHANA INSTITUTE OF ORGANIC FARMING,NEAR DAZONGO PRIMARY SCHOOL,SIRIGU - MANYORO ROAD,DAZONGO,SIRIGU DAZONGO,"P. O. BOX 417, BOLGA",,seisud.giof@gmail.com,SERVICE,A,
GHANA LIBRARY BOARD,OPPOSITE FIRE SERVICE,HOSPITAL ROAD,NOGESENIA,NAVRONGO,"P. O. BOX 79, NAVRONGO",,,SERVICE,A,
GHANA NATIONAL ASSOCIATION OF TEACHERS,OPPOSITE FIRST NATIONAL BANK,NAVRONGO BOLGA ROAD,BALOBIA,NAVRONGO,"P. O. BOX 125, NAVRONGO",,kassenanankanagnat@gmail.com,SERVICE,A,
GHANA NATIONAL FIRE SERVICE,OPPOSITE NAARA BANK,NAVRONGO BOLGA ROAD,NOGESENIA,NAVRONGO,"P. O. BOX 59, NAVRONGO",0246457701,,SERVICE,B,
GHANA OIL COMPANY LIMITED (GOIL),ADJACENT FIRST NATIONAL BANK,NAVRONGO BOLGA ROAD,BALOBIA,NAVRONGO,"P. O. BOX 607, BOLGA",0244944030,,SERVICE,A,
GHANA PRISONS SERVICE,OPPOSITE THE POLICE STATION,PAGA ROAD,NOGESENIA,NAVRONGO,"P. O. BOX 23, NAVRONGO",,,SERVICE,B,
GHANA PRIVATE ROAD AND TRANSPORT UNION OF TRADE UNION CONGRESS,OPPOSITE ST JUDE CLINIC,UDS ROAD,NOGESENIA,NAVRONGO,,0243664946,,SERVICE,A,
GHANA REVENUE AUTHORITY,BEHIND FIRE AND RESUE SERVICE,UDS ROAD,NOGESENIA,NAVRONGO,"P. O. BOX 97, NAVRONGO",0208369739,,SERVICE,A,
GHANA WATER COMPANY LIMITED,10 METERS FROM NAVRONGO - PAGA ROAD,NAVRONGO - PAGA ROAD,NAMOLO,NAVRONGO,"P. O. BOX 38, NAVRONGO",,,INDUSTRY,A,
GIA CHIP COMPOUND,CENTER OF GIA,GIA KOSONGO ROAD,KOSONGO,GIA KWOSONGO,"P. O. BOX 8, NAVRONGO",0201391697,,SERVICE,A,
GIA JUNIOR HIGH SCHOOL,ADJACENT THE CHIEF'S PALACE,KOSONGO TONO ROAD,NANGWAO,GIA KWOSONGO,,,,SERVICE,A,
GIA PRIMARY SCHOOL,OPPOSITEHOUSE NO WED 86,GIA KOSONGO,KOSONGO,GIA KWOSONGO,"P. O. BOX 56, NAVRONGO",,,SERVICE,A,
GIFT FROM GOD SHOP,KOLOGO -TUO ROAD NEAR AMOAH BASE,KOLOGO-TUO ROAD,TUO,KOLOGO - TUO,,0548389839,,SERVICE,A,
