,,,,,,,,,,
ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,TELEPHONE,EMAIL,SECTOR,SIZE,
ALHAJI BABA STORE,STORE NO 13 OPPOSITE WA BUTCHER,LEFTSIDE OF THE ENTRANCE OF THE WA MARKET,MARKET,JANGBAYIRI,,0205608869,,SERVICE,A,
ALHAJI BARBERING SHOP,CHEREBAYIRI IN FRONT OF THE CENTRAL MOSQUE,WA ROAD,CHEREBAYIRI,NAKORI,,,,SERVICE,A,
ALHAJI DAUDA SHOP,BEHIND ALHAJI AZIZ LORRY STATION,,,WA LORRY PARK,,,,SERVICE,A,
ALHAJI FITTING SHOP,FIFTY METERS FROM THE LOW COST JUNCTION ALONG WA-CHRIA ROAD,CHARIA ROAD,DPBILE LOW COST,WA DOBILE,,0502849603,,SERVICE,A,
ALHAJI FUSEINI ENTERPRISE,OPPOSITE FADAMA MARKET  MAIN ENTRANCE,FADAMA ROAD,DOBILE,DOBILE,,0200116175,,SERVICE,A,
ALHAJI HAUD ALHASSAN WATER ENTERPRISE,NEAR GOYIRI,KUMBEIHE ROAD,,KUMBEIHI,,0207555166,,SERVICE,A,
ALHAJI ISSAH ENTERPRISE,BESIDE THE INSURANCE ROAD,INSURANCE ROAD,SANDEMUNI,WA MUNICIPAL,,0201782234,,SERVICE,A,
ALHAJI KARIM AND SONS ENTERPRISE,IN FRONT OF ALHAJI SAABA HOUSE NO. 74 BLOC A,ALHAJI SAABA LANE,DOBILE SAABA YIRI,WA DOBILE,"P.O.BOX 354, WA",0208085687,,INDUSTRY,A,
ALHAJI MAHAMA TAILORING SHOP,ALI MACHINE HOUSE NEAR THE ENTRANCE TO THE MARKET,,JANGBAYIRI,WA JANGBAYIRI,"P.O.BOX 48, WA",0205163915,,INDUSTRY,A,
ALHAJI MAHAMMED'S MOSQUE,POLY AREA IN FRONT OF ALHAJI MOHAMMED'S HOUSE,WA ROAD,WA POLY,KPONGU,,,,SERVICE,A,
ALHAJI MOHAMMED SHOP,IN FRONT OF MALAM ISSAH ISSAHAKU YARD,,,WAPAANI,,0246557698,,SERVICE,A,
ALHAJI MORAL LICENSED CHEMICAL SHOP,"BEHIND FUEL STATION,NEAR LAWMARS JUNCTION",WA POLY ROAD TOTOWN,,KONTA,,0240775678,,SERVICE,A,
ALHAJI MUMUNI MOSQUE,OPPOSITE ALHAJI KARIM SAABA METAL WORKSHOP,ALHAJI SAABA LANE,DOBILE,WA DOBILE,,0205359070,,SERVICE,A,
ALHAJI MUSTAPHER ENTERPRISE,NEAR MARKET CHPS COMPOUND,ADB KAWUKUDI ROAD,,JANGBAYIRI,,0209315159,,SERVICE,A,
ALHAJI RICH ENTERPRISE,IN BETWEEN GOOD SHEPHERD CLINIC AND ASONGTABA OFFICE,HOSPITAL MUMMY'S KITCHEN ROAD,KABANYE,WA,,0243488894,,SERVICE,A,
ALHAJI SAALU ENTERPRISE,BESIDE BIG ENTERPRISE,TRAFFIC GOLDEN KEY ROAD,FADAMA MARKET,WAPAANI,,0205365917,,SERVICE,A,
ALHAJI SALIA FITTERING SHOP,ZONE 4 OPPOSITE ROCK TOP,TUMU ROAD,MAGAZINE,DONDOLI,"P.O.BOX 70, WA",0201225911,,SERVICE,A,
ALHAJI SANKARA ENTERPRISE,INSIDE KEJETIA,,KEJETIA,WA JANGBAYIRI,,0208304210,,SERVICE,A,
ALHAJI SEIDU IMORO'S GRINDING MILL,OPPOSITE OLD SLAUGHTER HOUSE,UPLAND ROAD,KPAGURI,KPAGURI,,0267555729,,INDUSTRY,A,
ALHAJI SENA WALA & BROS.,,,WA,WA,"P.O.BOX 102, WA",,,INDUSTRY,A,
ALHAJI STORE,"ALONG THE MANGU CHARIA ROAD, THIRD SHOP ON THE LEFT",TORAYIRI,MANGU CHARIA ROAD,GBEGRU,,0540119178,,SERVICE,A,
ALHAJI SULEMAN ENTERPRISE,DIRECTLY OPPOSITE TOTAL FILLING STATION,ZONGO ROAD TO CENTRAL MOSQUE,,SAKPAYIRI,,0243845120,,SERVICE,A,
ALHAJI SULEMANA SALIFU CONTRACT WORKS,"H/NO E, 28 WAPAANI-WA",,WA,WA,"P.O.BOX 143, WA-UW/R",,,INDUSTRY,A,
ALHAJI SUMAILA WORKSHOP,MAGAZINE ZONE 4 SECOND ENTRANCE OF MAGAZINE,TUMU ROAD,MAGAZINE,DONDOLI,"P.O.BOX 10, WA",0208422226,,INDUSTRY,A,
ALHAJI THOUSAND ENTERPRISE,IN FRONT OF HOUSE NO. Z 157,ZONGO ROAD,,ZONGO,"P.O.BOX 108, WA",0244607066,,SERVICE,A,
ALHAJI WAALUU BAR,OLD PTC,TRAFFIC LIGHT LANE,,SAKPAYIRI,"P.O.BOX GP315, WA",0205757763,,SERVICE,A,
ALHAJI WOOD WORKS,ALONG THE INSURANCE ROAD,INSURANCE ROAD,SANDEMUNI,WA MUNICIPAL,,0247433004,,INDUSTRY,A,
ALHAJI YAHAYA IMADUDEEN CHEMICAL SHOP,OPPOSITE FATACTION ENTERPRISE,WAPAANA ROAD LEADING TO CENTRAL MOSQUE,,WAPAANI,,0242706772,,SERVICE,A,
ALHAJI YAKUBU GRINDING MILL,IN FRONT OF TUC OFFICE ALONG THE EASTERN ENTRANCE OF THE MARKET,,,WA JENGBEYIRI,,,,INDUSTRY,A,
ALHAJI YUSSIF ENTERPRISE,BEHIND BUTHCER HOUSE,ADB-KAWUKUDI ROAD,WAPAANI,WAPAANI,,0247992110,,SERVICE,A,
ALHAJI ZAKARIA SEIDU GRINDING MILL,BEHIND OSUMAN WALA LICENSE CHEMICAL SHOP,JANGBAYIRI MAIN STREET,,WAPAANI,"P.O.BOX 401, WA",0209390153,,INDUSTRY,A,
ALHASN KUNATEH,ADJACENT EBENEZER CHOP BAR,KABANYE-NHIS ROAD,KABANYE,WA,"P.O.BOX GP 11, WA",0244166825,,SERVICE,A,
ALHASSAN ADAM PHARMACY,BEHIND JACOB 78 ENTERPRISE BUILDING,,KEJETIA,WA JANGBAYIRI,,0274524694,,SERVICE,A,
ALHASSAN CORNMILL,AT THE BACK OF HOUSE NO.Z 293,ZONGO ROAD,,ZONGO,,0246658837,,INDUSTRY,A,
ALHASSAN ENTERPRISE,ADJACENT IDEAL COLLEGE,TUMU ROAD,MAGAZINE,TANPAREPANI,,0209313682,,SERVICE,A,
ALHASSAN FURNITURE WORKS,NEAR WANGARA MOSQUE,ZONGO NEW ROAD,,ZONGO,,0207624826,,SERVICE,A,
ALHASSAN GRINDING MILL,OPPOSITE BUSA PRIMARY SCHOOL,WA BUSA MANWE ROAD,YIPAANI,BUSA,,0540380870,,INDUSTRY,A,
ALHASSAN GROUNDNUT MILL,TAGRAYIRI NEAR CENTRAL MOSQUE,CENTRAL MOSQUE ROAD,TAGRAYIRI,LIMANYIRI,,0243508288,,INDUSTRY,A,
ALHASSAN HAFIZ ENTERPRISE,UNDER THE MANGO TREE BY ADAM ZAK MECHANIC SHOP,TUMU ROAD,MAGAZINE,DONDOLI,"P.O.BOX 97, WA",0205477900,,SERVICE,A,
ALHASSAN HAIR CUT,OPPOSITE NDC SUMMER HUT,WA TUMU ROAD,WEDAAHI YIRI,KPERISI,,0502324705,,SERVICE,A,
ALHASSAN MAASINI ENTERPRISE,DIRECTLY OPPOSITE FOX TROT INTERNET CAFE,ZONGO NEW ROAD,,ZONGO,,0207352714,,SERVICE,A,
ALHASSAN MARIYAM CHOP BAR,BESIDE 1ST NATIONAL BANK NEAR TUMU STATION,,KEJETIA INSIDE TUMU STATION,LORRY PARK,,,,SERVICE,A,
ALHASSAN NASATA STORE,STORE NO 8 OF WMA/BLOCK/N,WA MARKET CHPS COMPOUND LANE,MARKET,JANGBAYIRI,,0244957405,,SERVICE,A,
ALHASSAN OSMAN ENTERPRISE,AT THE JUNCTION CLOSE TO SALAM ALHASSAN HOUSE,,KONTA NORTH,WA,,0277825417,,SERVICE,A,
ALHASSAN SADIK SHOP,T-JUNCTION OPPOSITE EXCEL FILLING STATION,DONDOLI NEW ROAD,SAWABA,SAWABA,,0506824850,,SERVICE,A,
ALHASSAN STORE,NAYIRI ADJACENT THE OLD MOSQUE,OLD MOSQUE ROAD,NAYIRI-MISIRIMUNI,NAKORI,,,,SERVICE,A,
ALHASSAN UMAR SHOP,OPPOSITE OLD P.T.C BLOCK ON OLD SCHOOL FOR THE BLIND,MAIN STREET FROM DANWANA TO TRAFFIC,KEJETIA,SAKPAYIRI,"P.O.BOX 498, WA MUNICIPAL",,,SERVICE,A,
ALHASSAN YUSSIF FITTING SHOP,OPPOSITE OSUMANU KALEO DRUG STORE,ADB-OLD MTN OFFICE ROAD,WA JANGBAYIRI,WA JANGBAYIRI,,0547474693,,SERVICE,A,
ALHASSAN'S BOUTIQUE,ADJACENT THE COMMUNITY AID CREDIT UNION,DOBILE CHARIA ROAD,,DOBILE,,0247281841,,SERVICE,A,
ALI AMAMA'S STORE,AT THE ENTRANCE OF THE COMMUNITY,,NAYIRI,JONGA TABIASE NUMBER 2,,,,SERVICE,A,
ALI DU KUNTA LOTTERY POINT,DIRECTLY OPPOSITE LOW COST JUNCTION,WA CHARIA ROAD,DOBILE,WA DOBILE,,0548485857,,SERVICE,A,
ALI ENTERPRISE,IN FRONTOF ALHAJ DAWUDI SAADUGU MACHINE,NIB-KAWUKUDI,WA-JANGBAYIRI,JANGBAYIRI,,0542190837,,SERVICE,A,
ALI ENTERPRISE,DIRECTLY OPPOSITE NANJO'S HOUSE,,DONDOLI,JEJEIRAYIRI,,0244882291,,SERVICE,A,
ALI HASHIM,AT THE BACK OF SUNMAALI RADIO,HOSPITAL RING ROAD,TENDAMBA JUNIOR HIGH SCHOOL,SOKPAYIRI,"P.O.BOX 31, WA",0247804640,,INDUSTRY,A,
ALI IBRAHIM ENTERPRISE,THE BUILDING WITH JACOB 78,,KEJETIA,WA JANGBAYIRI,,0246192070,,SERVICE,A,
ALI POGO STORE OR NASIAMA STORE,OPPOSITE THE TRANSFORMER,,DANKO,DANKO,,,,SERVICE,A,
ALI PROVISION STORE,OPPOSITE THE JUNCTION TO TANGAJU,WA BUSA ROAD,KUNTULONAA YIRI,BUSA,,0243838869,,SERVICE,A,
ALI SEIDU ENTERPRISE,,TRAFFIC- GOLDEN KEY JUNCTION ROAD,FADAMA MARKET,FADAMA,"C/O P.O.BOX 3, WA",0541258737,,SERVICE,A,
ALI'S ENTERPRISE,NEAR THE ANIMALS LANE IN FADAMA MARKET,NEAR THE ANIMALS LANE,FADAMA,WAPAANI,,0547740237,,SERVICE,A,
ALICE FASHION CENTER,AFTER THE DAILY MARKET CLOSER TO WHITE CHAPEL,,PIISI,PIISI,,,,INDUSTRY,A,
ALICE WEAVING SHOP,10 METERS AFTER HONOURABLE RASHID PELPUO JUNCTION,CHARIA ROAD,DOBILE,WA DOBILE,,0546439404,,INDUSTRY,A,
ALICE WEAVING WORKSHOP,ON THE LEFT SIDE CLOSE TO DOBILE CHIEF HOUSE LANE,WA CHARIA ROAD,DOBILE,WA DOBILE,,0207229364,,INDUSTRY,A,
ALIDU'S SHOP,PRISON CANTEEN ENTRANCE,MANDELLA ROAD,PRISONS,KABANYE,,0274524938,,SERVICE,A,
ALIJATA ENTERPRISE,OPPOSITE SCHOOL FOR THE BLIND DORIMON ROAD,FADAMA ROAD,DOBILE,DOBILE,,0242383558,,SERVICE,A,
ALIJATA FASHION CENTER,ALONG KPAGURI ESTATE ROAD AT KANTON HOUSE,KPAGURI ESTATE NEW ROAD,CHORKOR,KABALI,,0208294533,,SERVICE,A,
ALIJATA'S ENTERPRISE,OPPOSITE UDS OLD ADMINISTRATION BLOCK,DORIMON ROAD,,SOMBO,,,,SERVICE,A,
ALIJATU BEAUTY SALON,DAGAABAYIRI IN FRONT OF MASAHUDU'S STORE,WA ROAD,DAGAABAYIRI,NAKORI,,,,SERVICE,A,
ALIJATU ENTERPRISE,ADJACENT AIRTEL OFFICE,T-JUNCTION,,WAPAANI,,0208406696,,SERVICE,A,
ALIKUN'S HAIR CUTZ,OPPOSITE HOSPITAL GATE,HOSPITAL GATE-MUMMY'S KITCHEN ROAD,KABANYE,WA,,0209248643,,SERVICE,A,
ALIMA BEAUTY SALON,OPPOSITE TEFLON-DON OUTFIT,JENGBEYIRI-T-JUNCTION ROAD,,SURIYIRI,,,,SERVICE,A,
ALIMA ENTERPRISE,IN FRONT OF SEIDU MUROBILE HOUSE,T-CORNER,KUNATEH LODGE,WA,,0249843111,,INDUSTRY,A,
ALIMA ENTERPRISE,NEARER TO SAWABA REST HOUSE,DONDOLI NEW ROAD,SAWABA,SAWABA,,0205413255,,SERVICE,A,
ALIMA FASHION,MANGU ZINGU ROAD ABY MA NGO,MANGU ZINGU ROAD,TORAYIRI,GBEGRU,,0247283325,,INDUSTRY,A,
ALIMA FASHION CENTRE,ALONG THE INSURANCE ROAD,INSURANCE ROAD,WA SANDEMUNI,WA MUNICIPAL,,0241371301,,INDUSTRY,A,
ALIMA FASHIONS,BY HOSPITAL WALL OPPOSITE CHILDREN PARK,ON HOSPITAL KUMASI ROAD,KABANYE,WA,,0240383566,,INDUSTRY,A,
ALIMA YUSSIF'S ENTERPRISE,OPPOSITE BIG TIME INTERNET CAFE,SOMBO ROAD,KAMBALI,KAMBALI,,,,SERVICE,A,
ALIMA'S FASHION,OPPOSITE WAJAAH FASHIONS,TENDAMBA NURIYA ROAD,,KPAGURI,,0502224682,,INDUSTRY,A,
ALIMA'S SALON,BEHIND ADONIS CENIMA,ADB ROAD,KABANYE,KABANYE,,0206557507,,SERVICE,A,
ALIMATA BEAUTY SALON,ADJACENT YANATOR GHANA LIMITED,RADIO PROGRESS ROAD,,WAPAANI,,0209744675,,SERVICE,A,
ALIMATA BEAUTY SALON,OPPOSITE WANGARA MOSQUE,ZONGO NEW ROAD,,KABANYE,,0203788452,,SERVICE,A,
ALIMATA ENTERPRISE,DIRECTLY OPPOSITE CENTRAL MOSQUE WA,,WA NAYIRI,WA LIMANYIRI,,0240355517,,SERVICE,A,
ALIMATA IMORI STORE,MARKET STORE 9 STORE,,MARKET,INSIDE MARKET,,,,SERVICE,A,
ALIMATA SHOP,BEHIND MANSOORA STORE,,SEMBELEEYIRI,BAMBIRIYIRI,,,,SERVICE,A,
ALIMATU ENTERPRISE,OPPOSITE TRAFFIC LIGHT,KAMBALI ROAD,TRAFFIC LIGHT,SOKPAYIRI,,0249992929,,SERVICE,A,
ALIMATU HAIRDRESSING,ADJACENT NPP SUMMER HUT,WA TUMU ROAD,FOGU,KPERISI,,0265325551,,SERVICE,A,
ALIMATU SEIDU FASHION,DIRECTLY OPPOSITE WA NDC CONSTITUENCY SECRETARIAT,ZONGO ROAD,,KABANYE,,0247846669,,INDUSTRY,A,
ALIMATU'S SHOP,BEHIND ALHAJI ALI SALIFU'S HOUSE,,,DOBILE,,0269265999,,SERVICE,A,
ALJAZEERA NETWORK,INSIDE KEJETIA BESIDE OUTDOOR ENTERPRISE,,KEJETIA,WA JANGBAYIRI,,0209313621,watarafiq@gmail.com,SERVICE,A,
ALL BOLA ENTERPRISE,ADJACENT METHODIST CHURCH,HOSPITAL RING ROAD,METHODIST RING ROAD,SOKPAYIRI,,0243844999,,SERVICE,A,
ALL IS WELL BEAUTY SALON,IN FRONT OF THE METHODIST GATE CHURCH,SOKPAYIRI ROAD,METHODIST CHURCH,SOKPAYIRI,,,,SERVICE,A,
ALL IS WELL ENTERPRISE,ADJACENT METRO MASS STATION,INSURANCE ROAD,NAYIRI,WA LIMANYIRI,,0244510277,,SERVICE,A,
ALL IS WELL SHOP,ADJACENT METRO MASS STATION,INSURANCE ROAD,NAYIRI,WA LIMANYIRI,"P.O.BOX 89, WA",0202315553,,SERVICE,A,
ALL LOVE BEAUTY SALON,RIGHT AFTER K.G.SPOT,DORIMON ROAD,KAMBALI,WA KAMBALI,,0264528746,,SERVICE,A,
ALL TIME BEAUTY COSMETICS,RIGHT AFTER K.G.SPOT,DORIMON ROAD,KAMBALI,WA KAMBALI,"P.O.BOX 15, WA",0204852221,,SERVICE,A,
ALL UNITS CENTER,ADJACENT SUPREME SHOPING CENTER,INSURANCE ROAD,,BAMBIYIRI,,,,SERVICE,A,
ALLABILLA ENTERPRISE,IN FRONT OF PRISONS OPPOSITE MINISTRIES,HOSPITAL ROAD,MINISTRIES,KABANYE,,0233359603,,INDUSTRY,A,
ALLAH SHIKE BAMUSU BLACKSMITH,INSIDE HOUSE NO.Z 81,ZONGO ROAD,,SAKPAYIRI,,0207073133,,INDUSTRY,A,
ALLAHU WAIDU AAMEYI SHEI ALLAH ENTERPRISE,AT THE BACK OF HOUSE NO.Z 163,ZONGO ROAD,,ZONGO,,0243615706,,SERVICE,A,
ALLAHUWAAHID ENTERPRISE,ADJACENT AL-ZHAR CLINIC,,,WAPAANI,,0205146697,,SERVICE,A,
ALLIMAN MECHANICAL WORKSHOP,ZONE ONE CLOSE TO THE ROAD,TUMU ROAD,MAGAZINE,DONDOLI,,0243733480,,SERVICE,A,
ALLUMIA FABRICATION,IN FRONT OF MALLAM ISSAH ISSAHAKU YARD,,,DOBILE,,0245717777,,INDUSTRY,A,
ALMIGHTY CATERING SHOP,OPPOSITE MUNICIPAL GES OFFICE,MUNICIPAL GES - HOSPITAL ROAD,KABANYE,WA,,,,SERVICE,A,
ALOO ENTERPRISE,BESIDE SENA CLINIC WA U/W/R,,WA,WA,", WA",,,SERVICE,A,
ALOO VULGANISING SHOP,NEAR DOCTOR LATSU CLINIC JUNCTION WA,LATSU CLINIC ROAD,WA TENDAMBA,TENDAMBA,,0243807669,,SERVICE,A,
"ALOSAABA WELDING FABRICATION ,GAS CUTTING AND BLACKSMITH SHOP",TOWARDS THE OUTSKIRTS OF MAGAZINE,TUMU ROAD,MAGAZINE,DONDOLI,"P.O.BOX 333, WA",0506548744,,INDUSTRY,A,
ALPHA & OMEGA MOTHER CARE,BEHIND CENTER FOR PERSONS WITH DISABILITIES,TRAFFIC NIB ROAD,WAPAANI,WAPAANI,,0207229040,,SERVICE,A,
ALUI MOHAMMED SHOP,IN FRONT OF HOUSE NO.Z 158,ZONGO ROAD,,SAKPAYIRI,,0266755933,,INDUSTRY,A,
AMA FASHION CENTER,TRUSTEE SHOPPING CENTER,GOLDEN KEY TO DOBILE ROAD,,DOBILE,,0546431629,,INDUSTRY,A,
AMA'S STALL,OPPOSITE MINISTRIES IN FRONT OF PRISONS,HOSPITAL ROAD,MINISTRIES,KABANYE,,0203022854,,SERVICE,A,
AMAAMA ENTERPRISE,OPPOSITE ALHAJI ZAK HOUSE,LANE INFRONT OF ALHAJI ZAK HOUSE,DOBILE,WA DOBILE,,0502226861,,SERVICE,A,
AMAAMAT WEAVING SHOP,OPPOSITE KASSIM H SUMAILA LICENED CHEMICAL SELLER,DORIMON ROAD,KAMBALI,WA KAMBALI,,0205450456,,INDUSTRY,A,
AMADIYA  MUSLIM MOSQUE,OFF LOGGU ROAD AFTER BOLI MARKET,ALONG BOLI-LOGGU ROAD,SELEE,BOLI,,0502753593,,SERVICE,A,
AMADU ISSAHAQUE & CO. LTD.,"H/NO.CAG 3A, BEHIND POLICE STAT.WA",,WA,WA,"P.O. BOX 26, WA",,,INDUSTRY,A,
AMADU SHOP,,OPPOSITE THE WEVERS,HOSPITAL RING ROAD,SAKPAYIRI,,0261381322,,SERVICE,A,
AMADU YAKUBU'S ENTERPRISE,DURIYIRI ADJACENT AMADU YAKUBU'S HOUSE,BUONUORI ROAD,DURIYIRI,KPONGU,,,,SERVICE,A,
AMAKYE DEDE ENTERPRISE,IN FRONT OF SUNGJEL YIRI CENTRAL MOSQUE,WA-TUMU ROAD,SUNGJELI YIRI,KPERISI,,0201607066,,SERVICE,A,
AMALSA ENTERPRISE,ADJACENT AIRTEL OFFICE NEAR T-JUNCTION,INSURANCE ROAD,,WAPAANI,,0208085660,,SERVICE,A,
AMAMA SALON,OPPOSITE SENDAMUNI MOQUE,INSURANCE ROAD,TAMARIMUNI,BAMBIRIYIRI,"P.O.BOX 143, WA",,,SERVICE,A,
AMAMATA ALHASSAN FASHION,AT ALHAJI ACHIM HOUSE NO C195 WAPAANI,BEHIND OLD ADB HOUSE,,WAPAANI,,0247507319,,INDUSTRY,A,
AMAMATA CANTEEN,NEAR AGRICULTURAL MUNICIPAL UNIT,SARI ROAD,AIRSTRIP AREA,DOKPONG,,0508097455,,SERVICE,A,
AMAMATA ENTERPRISE,OPPOSITE REGIONAL MEDICAL STORES,WA-BOLGA MAIN ROAD,VRA,GBC RADIO UPPER WEST,,0205005349,,SERVICE,A,
AMAMATA FASHION,ADJACENT FONGO L/A PRIMARY TOILET,,,WAPAANI,,0245223516,,INDUSTRY,A,
AMAMATA FASHION DESIGN,OPPOSITE UDS OLD ADMINISTRATION BLOCK,DORIMON ROAD,,SOMBO,,,,INDUSTRY,A,
AMAMATA'S ENTERPRISE,NEAR THE DRAIN BEHIND A RAZMARK PHARMACY,GRAINS LANE,FADAMA,WAPAANI,,0207242794,,SERVICE,A,
AMAMATU ENTERPRISE,OPPOSITE THE MAIN LORRY STATION,BET  BIG ENTERPRISE AND KALAGASTON LANE,FADAMA,WAPAANI,,0547037083,,SERVICE,A,
AMANDA FASHION,BEHIND NEW MTN OFFICE,TRAFFIC-NIB ROAD,WAPAANI,WAPAANI,,0208303192,,INDUSTRY,A,
AMANDARICH ENTERPRISE,SAME PREMISES JERADEL KAY LTD,,WA,WA,"C/O P.O.BOX 2, WA-UW/R",,,INDUSTRY,A,
AMARIAS FASHION SHOP,150 FROM ODO WASHING BAY,ODO DOBILE JUNCTION LANE,DOBILE,WA DOBILE,,0208424962,,INDUSTRY,A,
AMARIYA ENTERPRISE,IN LINE WITH WEAVERS,HOSPITAL RING ROAD,METHODIST SCHOOL,SOKPAYIRI,,0506103430,,SERVICE,A,
AMARIYA SPECIAL RICE,KPAGURI NEAR ALHAJI ZAKARIA'S HOUSE,,KPAGURI,KPAGURI,,0506824880,,SERVICE,A,
AMARIYA SPECIAL RICE,CLOSE TO 77 JUNCTION,DOBILE ROAD,DOBILE,DOBILE,,0500465172,,SERVICE,A,
AMARIYA STORE,NEAR GOAT SELLERS LANE IN FADAMA,DOBILE FADAMA ROAD,FADAMA,WAPAANI,,,,SERVICE,A,
AMASS ENTERPRISE,CLOSE TO THE WASHING BAY,INSURANCE ROAD,SANDEMUNI,WA MUNICIPAL,,0541581501,,SERVICE,A,
AMATA BEAUTY SALON,ALHAJI SIDIK PUNCHER STOREY BUILDING,,,WA JENBEYIRI,,,,SERVICE,A,
AMATA BEAUTY SALON,NEAR BUTHCER HOUSE,ADB KAWUKUDI ROAD,,JANGBAYIRI,,,,SERVICE,A,
AMATA ENTERPRISE,OPPOSITE TEFLON-DON OUT FIT,GEMGBEYIRI TO FONGO ROAD,,SURIYIRI,,0206527765,,SERVICE,A,
AMATA ENTERPRISE,IN FRONT OF BUTCHER HOUSE,ADB KAWUKUDI ROAD,WAPAANI,WAPAANI,,,,SERVICE,A,
AMATA FASHIONS,OPPOSITE THE FIRST STOERY ON THE UPLAND ROAD,,,KPAGURI,,0541101553,,INDUSTRY,A,
AMATA HAFIZ MOHAMMED ABEIBANYERA STORE,INSIDE MARKET STORE 2,,MARKET,CENTRAL MARKET,,,,SERVICE,A,
AMATA IDDRISU STORE,STORE NO 11 OF WMA\BLOCK\N,WA MARKET CHPS COMPOUND LANE,MARKET,JANGBAYIRI,,0203489730,,SERVICE,A,
AMAZING GRACE BOOK SHOP,OPPOSITE TENDAMBA JUNIOR HIGH SCHOOL PARK,KPAGURI NEW ROAD,TENDAMBA,TENDAMBA JHS,"P.O.BOX 434, WA",0200300824,info@yahoo.com,SERVICE,A,
AMBAMBAHA FASHION SHOP,OPPOSITE THE BIKE CYCLE FITTING SHOP,DORIMON ROAD,KAMBALI,WA KAMBALI,,0205677025,,INDUSTRY,A,
AME ENTERPRISE,ON THE CURUE OF ROAD,AIRSTRIP,DOKPONG,DOKPONG,,0207385202,,SERVICE,A,
AMEN SCIENTIFIC CLINC,100 METERS FROM THE LOW COST JUNCTION,WA CHARIA ROAD,DOBILE,WA DOBILE,,0242920282,,SERVICE,A,
AMENUEYE LIMITED,FADAMA JUNCTION TO KAMBALI,FADAMA ROAD,DOBILE,DOBILE,,0242606281,,SERVICE,A,
AMETUS FITTING SHOP,OPPOSITE TINDAMBA JUNIOR HIGH SCHOOL,TENDAMBA ROAD,WA TENDAMBA,TENDAMBA,,0200615639,,SERVICE,A,
AMEXO FAMILY,WA,,WA,WA,"C/O P.O. BOX 226, WA",,,SERVICE,A,
AMI ENTERPRISE,KAMBALI ROAD FROM TRAFFIC LIGHT,KAMBALI ROAD,,FADAMA,,,,SERVICE,A,
AMI FASHION,OPPOSITE SOLDIER BAR,ZONGO ROAD,KABANYE,KABANYE,,0206251093,,INDUSTRY,A,
AMI IDYLL COMPANY LIMITED,"ADJACENT OLD ADB,ON THE MARKET ENTRANCE",JANGBAYIRI-ADB ROAD,WAPAANI,WAPAANI,"P.O.BOX 141, WA",0207712122,amidyll@yahoo.com,SERVICE,A,
AMI'S BEAUTY SALON,BESIDE WAEC OFFICE ALONG KUMBEIHE ROAD,KUMBEIHE ROAD,,DOKPONG,,0206155330,,SERVICE,A,
AMIDA'S FASHION CENTER,ADJACENT TRUSTEE SHOPPING CENTER,GOLDEN KEY DOBILE ROAD,,DOBILE,,0243820276,,INDUSTRY,A,
AMIIDA STORE,OPPOSITE CENTER FOR PERSONS WITH DISABILITIES,ADB KAWUKUDI ROAD,WAPAANI,WAPAANI,,,,SERVICE,A,
AMIN ABUBAKARI'S SHOP,OPPOSITE NATIONAL INVESTMENT BANK,T JUNCTION TO GOLDEN KEY ROAD,,WAPAANI,,0261168499,,SERVICE,A,
AMIN KARIBAKA STRAIGHTENING AND WELDING SHOP,BEHIND UNION OIL WALL TOWARDS PRONET NORTH OFFICE,PRONET NORTH OFFICE UNION OIL PATH,KABANYE,WA,"P.O.BOX GP 102, WA",0244242472,,SERVICE,A,
AMINA BEAUTY SALON,ADJACENT AIRSTRIP ENTERPRISE ON KALEO ROAD,KALEO STREET,AIRSTRIP AREA,DOKPONG,,0244547478,,SERVICE,A,
AMINA DRESS MAKING ENTERPRISE,HOUSE NO SU 1,JENGBEYIRI-T-JUNCTION ROAD,,SURIYIRI,,0241695342,,INDUSTRY,A,
AMINA ENTERPRISE,NEAR NANJO'S HOUSE,,DONDOLI,JEJEIRAYIRI,,0545118972,,SERVICE,A,
AMINA ENTERPRISE,INSIDE JAHAN,DINANSO ROAD,JAHAN,TANPAREPANI,"P.O.BOX 71, WA",0242963671,,SERVICE,A,
AMINA ENTERPRISE,TRAFFIC NIB  ROAD,WAPAANI,WAPAANI,WAPAANI,,0508090575,,SERVICE,A,
AMINA FASHION,ADJACENT KEDGE LODGE,,AIRPORT AREA,DOKPON,,0546928751,,SERVICE,A,
AMINA HAIR CLINIC,OPPOSITE OSCAR CAR WASH,TENDAMBA NURIYA ROAD,,KPAGURI,,0208803240,,SERVICE,A,
AMINA HAIR SALON,TAGRAYIRI NEAR CENTRAL MOSQUE,CENTRAL MOSQUE ROAD,WA TAGRAYIRI,WA LIMANYIRI,,0200306585,,SERVICE,A,
AMINA MOHAMMED'S STORE,DAGOMBA CHIEF'S HOUSE,ZONGO,KABANYE,KABANYE,,0207265178,,SERVICE,A,
AMINA MOTHER CARE,BEHIND CENTRAL MARGET MOSQUE,TRAFFIC NIB ROAD,WAPAANI,WAPAANI,,0247115617,,SERVICE,A,
AMINA'S ENTERPRISE,OPPOSITE ZAKARIA ENTERPRISE,,FADAMA MARKET,FADAMA,,0205005324,,SERVICE,A,
